"District_Type";"Municipality_Name";"Area_Code";"Population_Total";"Pop_Age_0_15";"Pop_Age_15_25";"Pop_Age_25_45";"Pop_Age_45_65";"Pop_Age_65_Plus";"Avg_Household_Size";"Avg_Property_Value_1000EUR";"Pct_Unoccupied_Homes";"Pct_Owner_Occupied";"Pct_Rental";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min";"Urbanization_Level"
"Oosterparkbuurt-Zuidoost";"Amsterdam                               ";"BU0363MC04";3705;440;385;1465;895;520;1,7;534;8;33;67;;;;;;;;;1
"Transvaalbuurt";"Amsterdam                               ";"WK0363MD  ";8770;1030;1085;3500;2000;1155;1,8;481;7;25;75;;;;;;;;;1
"Transvaalbuurt-West";"Amsterdam                               ";"BU0363MD01";4020;425;465;1570;965;595;1,7;446;3;27;73;;;;;;;;;1
"Transvaalbuurt-Oost";"Amsterdam                               ";"BU0363MD02";4750;600;620;1930;1035;560;1,8;510;10;23;77;;;;;;;;;1
"Dapperbuurt";"Amsterdam                               ";"WK0363ME  ";10130;1120;1160;3910;2340;1600;1,7;487;4;26;74;;;;;;;;;1
"Dapperbuurt-Noord";"Amsterdam                               ";"BU0363ME01";4280;440;470;1725;930;715;1,7;451;3;25;74;;;;;;;;;1
"Dapperbuurt-Zuid";"Amsterdam                               ";"BU0363ME02";3715;335;455;1485;920;515;1,6;466;3;22;78;;;;;;;;;1
"Oostpoort";"Amsterdam                               ";"BU0363ME03";2140;355;225;700;495;365;1,9;610;6;35;65;;;;;;;;;1
"Indische Buurt-West";"Amsterdam                               ";"WK0363MF  ";12145;1335;1570;5150;2725;1360;1,7;443;5;28;71;;;;;;;;;1
"Timorpleinbuurt-Noord";"Amsterdam                               ";"BU0363MF01";3845;420;435;1790;875;320;1,6;464;7;34;66;;;;;;;;;1
