buurtcode_2022,buurt_cbs_2015,buurt_cbs_2022,district_type,buurt_name,wijk_name,stadsdeel_name,municipality_name,buurt_area_m2,population_total_2020,pop_age_0_15_2020,pop_age_15_25_2020,pop_age_25_45_2020,pop_age_45_65_2020,pop_age_65_plus_2020,avg_household_size_2020,woz_value_2020,pct_unoccupied_2020,pct_owner_occupied_2020,pct_rental_2020,n_high_education_2020,income_recipient_2020,income_inhabitant_2020,income_household_2020,pct_bottom40_2020,pct_top20_2020,pct_low_income_2020,pct_below_120pct_social_min_2020,urbanicity_2020,supermarkets_1km_2020,food_shops_1km_2020,cafes_1km_2020,cafeterias_1km_2020,restaurants_1km_2020,dist_primary_school_2020,dist_secondary_school_2020,dist_train_station_2020,dist_nearest_green_2020,nearest_green_name_2020,nearest_green_type_2020,nearest_green_area_m2_2020,total_green_area_m2_2020,green_coverage_pct_2020,num_green_spaces_2020,population_total_2024,pop_age_0_15_2024,pop_age_15_25_2024,pop_age_25_45_2024,pop_age_45_65_2024,pop_age_65_plus_2024,avg_household_size_2024,woz_value_2024,pct_unoccupied_2024,pct_owner_occupied_2024,pct_rental_2024,n_high_education_2024,income_recipient_2024,income_inhabitant_2024,income_household_2024,pct_bottom40_2024,pct_top20_2024,pct_low_income_2024,pct_below_120pct_social_min_2024,urbanicity_2024,supermarkets_1km_2024,food_shops_1km_2024,cafes_1km_2024,cafeterias_1km_2024,restaurants_1km_2024,dist_primary_school_2024,dist_secondary_school_2024,dist_train_station_2024,dist_nearest_green_2024,nearest_green_name_2024,nearest_green_type_2024,nearest_green_area_m2_2024,total_green_area_m2_2024,green_coverage_pct_2024,num_green_spaces_2024,population_change,woz_change,income_household_change,pct_bottom40_change,pct_top20_change,pct_low_income_change,green_coverage_change,dist_green_change,n_high_education_change,is_eligible,woz_growth_pct,income_growth_pct,education_growth_abs,upgrading_criteria_met,gentrified
KP04,BU03632303,BU0363KP04,Zuidas Zuid,Zuidas-Zuid,Zuidas,Zuid,Amsterdam,216757.71,2375,285,130,1485,375,105,1.7,706.0,19.0,21.0,78.0,1520.0,94.2,76.0,68.1,25.5,39.6,2.1,2.6,1.0,3.0,9.3,1.4,23.1,25.5,0.9,1.0,0.9,238.73,Unnamed,forest,1293.19,0.0,0.0,0.0,2650,345,175,1535,470,125,1.7,788.0,14.0,24.0,76.0,1640.0,72.9,76.3,57.9,27.3,36.0,4.5,4.9,1.0,3.2,6.8,1.0,15.2,22.6,1.0,0.9,1.1,144.67,Unnamed,park,194.27,643.77,0.3,3.0,275,82.0,-10.199999999999996,1.8000000000000007,-3.6000000000000014,2.4,0.3,-94.06,120.0,0,0.11614730878186968,-0.14977973568281933,120.0,1,0
KP05,BU03632304,BU0363KP05,Vivaldi,Vivaldi,Zuidas,Zuid,Amsterdam,289766.68,985,50,430,455,45,5,1.1,179.0,7.0,8.0,92.0,500.0,30.9,26.8,20.2,85.8,7.1,11.9,18.2,1.0,1.7,1.2,0.0,4.7,11.2,0.1,1.6,0.7,184.25,Unnamed,forest,9753.08,4457.18,1.54,2.0,1855,135,590,845,225,65,1.2,315.0,7.0,6.0,94.0,668.8891777290693,72.9,60.3,57.9,80.4,7.9,23.3,24.2,1.0,1.4,2.7,1.0,7.3,11.1,0.4,1.2,0.8,246.46,Unnamed,forest,338.71,2331.59,0.8,4.0,870,136.0,37.7,-5.399999999999992,0.8000000000000007,11.4,-0.74,62.21000000000001,168.88917772906927,1,0.7597765363128491,1.8663366336633664,168.88917772906927,3,1
KE05,BU03632400,BU0363KE05,Hemonybuurt,Hemonybuurt,Oude Pijp,Zuid,Amsterdam,139972.48,2600,295,325,1155,605,210,1.6,537.0,10.0,32.0,67.0,1560.0,49.6,41.9,37.7,46.6,24.0,9.0,13.4,1.0,14.6,84.0,50.4,84.1,174.4,0.3,0.6,2.0,261.1,Unnamed,forest,1503.84,0.0,0.0,0.0,2650,250,365,1230,560,240,1.6,618.0,9.0,30.0,70.0,1560.0,52.0,51.3,40.2,46.4,22.2,8.4,13.2,1.0,8.1,38.5,28.1,38.7,106.5,0.5,0.8,2.2,261.49,Unnamed,forest,1475.5,0.0,0.0,0.0,50,81.0,2.5,-0.2000000000000028,-1.8000000000000007,-0.5999999999999996,0.0,0.3899999999999863,0.0,0,0.15083798882681565,0.0663129973474801,0.0,0,0
KE02,BU03632401,BU0363KE02,Gerard Doubuurt,Gerard Doubuurt,Oude Pijp,Zuid,Amsterdam,106412.87,1920,170,205,880,455,215,1.5,468.0,11.0,24.0,75.0,900.0,42.6,36.8,32.7,55.1,16.4,13.3,22.5,1.0,15.7,99.7,62.0,103.8,213.4,0.6,0.7,2.4,62.77,Unnamed,forest,111.81,1631.8,1.53,2.0,2025,150,255,940,435,240,1.5,529.0,8.0,24.0,75.0,940.0,52.0,46.1,40.2,54.6,14.9,11.2,21.5,1.0,7.9,47.1,29.0,44.0,121.2,1.0,0.9,2.8,62.77,Unnamed,forest,111.81,1631.8,1.53,2.0,105,61.0,7.5,-0.5,-1.4999999999999982,-2.1000000000000014,0.0,0.0,40.0,0,0.13034188034188035,0.2293577981651376,40.0,0,0
KE01,BU03632402,BU0363KE01,Frans Halsbuurt,Frans Halsbuurt,Oude Pijp,Zuid,Amsterdam,121393.89,2645,235,275,1330,580,225,1.5,479.0,11.0,28.0,72.0,1340.0,50.3,43.7,38.7,49.0,21.1,11.0,16.6,1.0,12.8,97.5,65.4,108.8,238.5,0.6,0.5,2.4,42.56,Unnamed,forest,97.57,3422.54,2.82,8.0,2640,190,355,1265,565,270,1.5,547.0,9.0,28.0,72.0,1410.0,52.0,49.7,40.2,51.1,18.7,10.5,16.3,1.0,6.2,45.0,26.2,40.8,108.6,1.3,0.6,2.8,42.56,Unnamed,forest,97.57,3927.87,3.24,8.0,-5,68.0,1.5,2.1000000000000014,-2.400000000000002,-0.5,0.4200000000000004,0.0,70.0,0,0.1419624217118998,0.03875968992248062,70.0,0,0
KE03,BU03632403,BU0363KE03,Hercules Seghersbuurt,Hercules Seghersbuurt,Oude Pijp,Zuid,Amsterdam,84525.97,2645,195,315,1365,530,240,1.5,406.0,5.0,16.0,82.0,1240.0,39.8,35.3,30.5,56.7,13.1,13.6,20.0,1.0,11.9,88.8,49.8,95.4,193.9,0.4,0.3,2.1,12.08,Unnamed,forest,152.29,370.03,0.44,5.0,2535,155,335,1265,495,285,1.4,466.0,7.0,18.0,82.0,1250.0,52.0,46.1,40.2,55.7,11.8,10.3,18.7,1.0,5.9,42.7,20.0,32.5,92.3,1.0,0.6,2.5,17.46,Unnamed,forest,53.06,234.68,0.28,5.0,-110,60.0,9.700000000000005,-1.0,-1.299999999999999,-3.299999999999999,-0.1599999999999999,5.380000000000001,10.0,1,0.1477832512315271,0.318032786885246,10.0,1,0
KE04,BU03632404,BU0363KE04,Sarphatiparkbuurt,Sarphatiparkbuurt,Oude Pijp,Zuid,Amsterdam,227577.69,5005,370,625,2490,1055,460,1.5,438.0,10.0,24.0,76.0,2710.0,43.8,38.7,32.9,53.2,16.3,10.7,17.4,1.0,15.5,99.4,59.7,103.2,213.7,0.3,0.5,2.2,27.93,Unnamed,forest,372.28,55467.94,24.37,15.0,5180,320,815,2525,1005,515,1.5,493.0,9.0,25.0,75.0,2860.0,49.6,44.4,37.7,52.9,14.7,9.0,16.3,1.0,5.7,40.5,22.5,31.8,89.8,0.9,0.7,2.6,29.38,Unnamed,forest,466.22,56693.68,24.91,16.0,175,55.0,4.800000000000004,-0.3000000000000042,-1.6000000000000014,-1.6999999999999993,0.5399999999999991,1.4499999999999993,150.0,0,0.12557077625570776,0.14589665653495454,150.0,1,0
KF04,BU03632500,BU0363KF04,Willibrordusbuurt,Willibrordusbuurt,Nieuwe Pijp,Zuid,Amsterdam,124001.95,2660,200,290,1185,565,420,1.5,416.0,8.0,22.0,77.0,1290.0,38.6,34.5,30.9,60.5,14.3,13.0,23.9,1.0,13.5,56.3,38.5,55.8,123.2,0.4,0.3,1.7,224.47,Unnamed,forest,1695.31,0.0,0.0,0.0,2715,185,375,1130,570,450,1.4,483.0,8.0,24.0,76.0,1140.0,52.0,44.6,40.2,58.6,15.0,11.2,24.6,1.0,7.2,28.8,22.7,35.6,78.6,0.6,0.4,1.8,224.47,Unnamed,forest,1695.31,0.0,0.0,0.0,55,67.0,9.300000000000004,-1.8999999999999984,0.6999999999999993,-1.8000000000000007,0.0,0.0,-150.0,1,0.16105769230769232,0.3009708737864079,-150.0,0,0
KF03,BU03632501,BU0363KF03,Van der Helstpleinbuurt,Van der Helstpleinbuurt,Nieuwe Pijp,Zuid,Amsterdam,136253.56,3915,385,365,1970,840,355,1.6,447.0,7.0,27.0,72.0,2340.0,47.0,40.8,35.7,48.3,20.4,10.6,16.8,1.0,14.6,84.8,48.8,77.2,162.4,0.2,0.3,2.0,150.82,Unnamed,forest,16.32,616.41,0.45,1.0,3945,340,405,1995,820,380,1.5,511.0,8.0,26.0,73.0,1910.0,54.3,47.9,40.2,48.5,19.2,9.9,15.8,1.0,5.6,30.8,19.9,25.7,71.5,0.4,0.6,2.1,164.4,Unnamed,forest,4398.51,0.0,0.0,0.0,30,64.0,4.5,0.2000000000000028,-1.1999999999999993,-0.6999999999999993,-0.45,13.580000000000013,-430.0,0,0.14317673378076062,0.12605042016806722,-430.0,0,0
KF02,BU03632502,BU0363KF02,Lizzy Ansinghbuurt,Lizzy Ansinghbuurt,Nieuwe Pijp,Zuid,Amsterdam,127528.16,2370,240,255,1015,585,265,1.6,430.0,6.0,23.0,77.0,1270.0,41.1,35.4,32.1,51.9,16.7,12.5,21.0,1.0,13.5,108.1,52.5,100.0,207.9,0.3,0.2,1.8,171.35,Unnamed,forest,616.41,0.0,0.0,0.0,2395,190,250,1035,550,375,1.6,492.0,5.0,25.0,75.0,1120.0,52.0,46.2,40.2,49.6,16.5,10.0,19.6,1.0,7.2,47.5,21.1,24.1,93.8,0.6,0.4,1.8,137.33,Unnamed,forest,454.41,1216.01,0.95,5.0,25,62.0,8.100000000000001,-2.299999999999997,-0.1999999999999993,-2.5,0.95,-34.01999999999998,-150.0,0,0.14418604651162792,0.25233644859813087,-150.0,0,0
KF01,BU03632503,BU0363KF01,Cornelis Troostbuurt,Cornelis Troostbuurt,Nieuwe Pijp,Zuid,Amsterdam,156478.61,3500,335,330,1690,735,410,1.6,443.0,7.0,30.0,69.0,2050.0,44.6,38.5,34.4,49.0,19.5,9.8,17.9,1.0,10.0,86.2,38.8,82.5,174.2,0.5,0.2,1.8,229.4,Unnamed,forest,506.14,0.0,0.0,0.0,3595,300,405,1725,715,455,1.6,498.0,8.0,30.0,69.0,2200.0,52.6,46.5,40.2,49.6,18.6,10.3,17.5,1.0,7.5,41.4,19.6,22.2,89.9,0.8,0.4,1.8,110.63,Unnamed,forest,470.87,925.27,0.59,2.0,95,55.0,5.800000000000004,0.6000000000000014,-0.8999999999999986,0.5,0.59,-118.77,150.0,0,0.12415349887133183,0.16860465116279083,150.0,1,0
KG03,BU03632600,BU0363KG03,Diamantbuurt,Diamantbuurt,Zuid Pijp,Zuid,Amsterdam,167159.76,3095,390,355,1040,830,490,1.7,398.0,3.0,16.0,84.0,1000.0,31.7,26.5,27.6,61.2,11.5,18.1,30.6,1.0,9.8,43.8,24.4,35.3,78.2,0.7,0.5,1.3,109.97,Unnamed,park,301.72,827.89,0.5,3.0,3015,345,355,1000,765,550,1.7,486.0,4.0,16.0,84.0,1050.0,36.9,31.1,32.9,61.3,11.2,15.4,31.2,1.0,6.6,26.0,13.3,24.7,54.9,0.9,0.5,1.5,109.97,Unnamed,park,301.72,948.43,0.57,6.0,-80,88.0,5.299999999999997,0.0999999999999943,-0.3000000000000007,-2.700000000000001,0.0699999999999999,0.0,50.0,1,0.22110552763819097,0.19202898550724626,50.0,0,0
KG02,BU03632601,BU0363KG02,Burgemeester Tellegenbuurt Oost,Burgemeester Tellegenbuurt-Oost,Zuid Pijp,Zuid,Amsterdam,121426.44,2830,295,310,1005,755,460,1.6,410.0,3.0,14.0,86.0,1360.0,32.8,27.9,27.9,60.7,10.8,16.9,29.5,1.0,13.0,67.6,33.9,48.7,106.3,0.4,0.3,1.7,140.84,Unnamed,forest,306.68,323.0,0.27,2.0,2735,250,305,1005,705,475,1.6,455.0,4.0,16.0,84.0,1240.0,37.6,34.0,32.9,58.1,10.9,13.7,27.7,1.0,7.2,30.0,15.3,26.2,61.8,0.8,0.7,1.8,80.06,Unnamed,park,178.09,178.09,0.15,1.0,-95,45.0,5.0,-2.6000000000000014,0.0999999999999996,-3.1999999999999997,-0.12,-60.78,-120.0,1,0.10975609756097561,0.17921146953405018,-120.0,0,0
KG01,BU03632602,BU0363KG01,Burgemeester Tellegenbuurt West,Burgemeester Tellegenbuurt-West,Zuid Pijp,Zuid,Amsterdam,102283.97,2265,265,185,790,615,405,1.7,420.0,3.0,13.0,87.0,860.0,30.9,26.6,26.0,63.1,10.0,16.5,30.9,1.0,14.1,89.6,40.0,66.0,138.9,0.3,0.3,1.8,172.71,Unnamed,forest,306.68,0.0,0.0,0.0,2170,235,215,720,555,440,1.6,466.0,4.0,14.0,86.0,800.0,37.6,32.4,32.9,61.7,9.9,12.4,30.2,1.0,6.6,42.1,13.8,19.2,69.4,0.7,0.6,1.8,199.22,Unnamed,forest,695.22,0.0,0.0,0.0,-95,46.0,6.899999999999999,-1.3999999999999986,-0.0999999999999996,-4.1,0.0,26.50999999999999,-60.0,1,0.10952380952380952,0.26538461538461533,-60.0,0,0
MB01,BU03632700,BU0363MB01,Swammerdambuurt,Weesperzijde-Noord,Weesperzijde,Oost,Amsterdam,141021.47,2000,225,195,990,435,165,1.6,520.0,5.0,45.0,55.0,1140.0,54.1,46.2,41.2,42.2,28.0,7.6,10.9,1.0,10.9,41.3,31.7,47.3,98.9,0.4,0.5,1.6,93.12,Unnamed,forest,1503.84,1503.84,1.07,1.0,1935,190,250,930,410,160,1.6,597.0,7.0,45.0,55.0,1230.0,60.0,51.7,46.3,39.8,27.7,6.4,10.2,1.0,6.0,26.0,15.3,30.5,63.1,0.6,0.5,1.7,92.69,Unnamed,forest,1475.5,1571.27,1.11,2.0,-65,77.0,5.099999999999994,-2.4000000000000057,-0.3000000000000007,-1.1999999999999993,0.04,-0.4300000000000068,90.0,0,0.14807692307692308,0.12378640776699014,90.0,1,0
MB02,BU03632701,BU0363MB02,Weesperzijde Midden/Zuid,Weesperzijde-Midden/Zuid,Weesperzijde,Oost,Amsterdam,236440.64,3315,390,250,1580,720,370,1.7,506.0,5.0,36.0,64.0,1940.0,48.6,41.1,38.2,40.5,24.6,9.2,15.0,1.0,5.0,24.7,14.1,30.8,60.3,0.4,0.5,1.1,59.98,Unnamed,forest,2317.78,10232.34,4.33,8.0,3300,355,340,1530,655,425,1.7,588.0,5.0,36.0,64.0,1920.0,58.9,50.5,46.3,39.4,25.5,6.4,13.1,1.0,2.5,13.2,4.8,15.3,33.0,0.5,0.7,1.2,59.98,Unnamed,forest,2317.78,10151.15,4.29,8.0,-15,82.0,8.099999999999994,-1.1000000000000014,0.8999999999999986,-2.799999999999999,-0.04,0.0,-20.0,0,0.16205533596837945,0.21204188481675376,-20.0,0,0
MB03,BU03632702,BU0363MB03,Parooldriehoek,Parooldriehoek,Weesperzijde,Oost,Amsterdam,69348.26,575,35,345,145,50,5,1.2,396.0,8.0,0.0,100.0,180.0,22.5,18.4,17.3,77.0,1.5,24.4,32.1,1.0,5.2,27.2,16.6,27.5,60.7,0.5,0.3,1.2,130.0,Wibautpark,park,6204.35,11585.28,16.71,4.0,685,50,420,140,65,10,1.2,417.0,3.0,0.0,100.0,204.8156923217595,60.0,51.7,46.3,77.1,3.3,15.8,23.3,1.0,4.0,21.5,7.7,16.8,35.5,0.9,0.5,1.6,130.0,Wibautpark,park,6204.35,11585.28,16.71,4.0,110,21.0,29.0,0.0999999999999943,1.7999999999999998,-8.599999999999998,0.0,0.0,24.815692321759517,1,0.05303030303030303,1.6763005780346818,24.815692321759514,1,0
MC01,BU03632800,BU0363MC01,Oosterparkbuurt Noordwest,Oosterparkbuurt-Noordwest,Oosterparkbuurt,Oost,Amsterdam,220355.8,3760,330,360,1755,850,460,1.6,393.0,5.0,23.0,77.0,1980.0,37.0,32.5,29.8,56.9,13.4,14.3,22.7,1.0,7.9,29.0,21.4,34.1,68.9,0.3,0.4,1.5,279.15,Unnamed,forest,3193.94,0.0,0.0,0.0,3850,350,440,1760,810,495,1.6,468.0,3.0,23.0,76.0,1850.0,43.6,38.5,37.3,57.8,13.1,10.4,20.7,1.0,5.3,21.3,11.1,21.4,43.4,0.6,0.6,1.6,177.51,Unnamed,forest,775.68,1752.45,0.8,3.0,90,75.0,7.4999999999999964,0.8999999999999986,-0.3000000000000007,-3.9,0.8,-101.64,-130.0,1,0.19083969465648856,0.25167785234899315,-130.0,0,0
MC02,BU03632801,BU0363MC02,Oosterpark,Oosterpark,Oosterparkbuurt,Oost,Amsterdam,253924.96,120,0,5,65,35,10,1.2,272.0,4.0,0.0,100.0,60.0,28.3,26.6,30.6,55.3,15.8,15.3,24.7,1.0,9.7,35.9,24.5,35.9,73.7,0.6,0.1,1.3,80.24,Oosterpark,park,143644.12,194208.01,76.48,12.0,105,5,10,50,30,15,1.1,277.0,7.0,1.0,99.0,73.00554037693604,45.1,38.8,37.3,80.6,2.8,11.6,22.9,1.0,8.7,30.2,15.9,27.2,55.7,0.7,0.2,1.3,78.48,Oosterpark,park,143503.27,195367.51,76.94,14.0,-15,5.0,6.699999999999996,25.3,-13.0,-3.700000000000001,0.4599999999999937,-1.759999999999991,13.00554037693604,1,0.01838235294117647,0.21895424836601293,13.00554037693604,0,0
MC04,BU03632802,BU0363MC04,Oosterparkbuurt Zuidoost,Oosterparkbuurt-Zuidoost,Oosterparkbuurt,Oost,Amsterdam,157627.28,3815,520,380,1510,950,455,1.8,456.0,6.0,33.0,67.0,1900.0,41.8,34.3,33.3,49.9,20.9,12.3,21.6,1.0,13.1,61.9,22.0,43.9,80.4,0.2,0.5,0.8,129.54,Unnamed,forest,5966.56,5966.56,3.79,1.0,3705,440,385,1465,895,520,1.7,534.0,8.0,33.0,67.0,2010.0,49.3,41.8,37.3,47.4,20.1,10.1,19.2,1.0,10.6,43.3,12.8,27.1,57.1,0.7,0.6,1.0,129.54,Unnamed,forest,5966.56,5966.56,3.79,1.0,-110,78.0,4.0,-2.5,-0.7999999999999972,-2.200000000000001,0.0,0.0,110.0,0,0.17105263157894737,0.12012012012012013,110.0,1,0
MC03,BU03632803,BU0363MC03,Oosterparkbuurt Zuidwest,Oosterparkbuurt-Zuidwest,Oosterparkbuurt,Oost,Amsterdam,121896.07,3185,430,305,1285,795,370,1.7,404.0,4.0,21.0,79.0,1090.0,34.8,28.8,28.9,58.1,14.0,19.3,30.3,1.0,7.7,35.7,19.3,31.6,68.0,0.4,0.2,1.2,177.82,Unnamed,forest,7847.46,5397.1,4.43,2.0,3055,375,325,1210,715,430,1.7,473.0,4.0,22.0,78.0,1120.0,42.6,35.9,37.3,57.5,14.1,14.4,29.3,1.0,5.8,28.0,11.6,22.1,48.0,0.8,0.3,1.4,177.82,Unnamed,forest,7847.46,5553.48,4.56,2.0,-130,69.0,8.399999999999999,-0.6000000000000014,0.0999999999999996,-4.9,0.1299999999999999,0.0,30.0,1,0.1707920792079208,0.29065743944636674,30.0,0,0
ME01,BU03632900,BU0363ME01,Dapperbuurt Noord,Dapperbuurt-Noord,Dapperbuurt,Oost,Amsterdam,211196.94,4295,460,470,1715,1000,650,1.7,399.0,4.0,24.0,75.0,1740.0,33.7,29.0,28.6,56.4,12.9,13.7,25.1,1.0,14.2,54.9,25.8,40.7,67.9,0.5,0.6,0.7,228.15,Unnamed,forest,2542.11,4750.52,2.25,3.0,4280,440,470,1725,930,715,1.7,451.0,3.0,25.0,74.0,1950.0,40.1,34.5,36.1,56.2,13.6,11.3,24.5,1.0,12.5,52.9,22.0,32.4,66.4,0.6,0.6,0.7,228.94,Unnamed,forest,2597.54,4805.95,2.28,3.0,-15,52.0,7.5,-0.1999999999999957,0.6999999999999993,-2.3999999999999986,0.0299999999999998,0.789999999999992,210.0,1,0.13032581453634084,0.26223776223776224,210.0,1,0
ME02,BU03632901,BU0363ME02,Dapperbuurt Zuid,Dapperbuurt-Zuid,Dapperbuurt,Oost,Amsterdam,174035.72,3810,400,475,1525,970,435,1.6,401.0,3.0,21.0,79.0,1750.0,33.4,28.9,27.6,60.5,12.6,15.3,26.4,1.0,16.2,74.4,25.9,47.9,82.7,0.2,0.3,0.4,172.58,Unnamed,forest,740.53,811.79,0.47,2.0,3715,335,455,1485,920,515,1.6,466.0,3.0,22.0,78.0,1580.0,40.7,35.8,36.1,58.7,13.0,13.0,24.9,1.0,16.3,62.8,20.5,38.1,77.9,0.3,0.3,0.4,173.01,Unnamed,forest,636.46,707.73,0.41,2.0,-95,65.0,8.5,-1.7999999999999972,0.4000000000000003,-2.3000000000000007,-0.06,0.4299999999999784,-170.0,1,0.16209476309226933,0.3079710144927536,-170.0,1,0
ME03,BU03632902,BU0363ME03,Oostpoort,Oostpoort,Dapperbuurt,Oost,Amsterdam,228644.03,2120,355,250,715,485,310,1.9,509.0,5.0,37.0,63.0,850.0,48.2,38.1,38.7,42.9,27.6,11.9,20.0,1.0,9.2,47.0,10.2,27.8,52.2,0.3,0.3,0.6,99.7,Unnamed,forest,2504.02,12989.68,5.68,7.0,2140,355,225,700,495,365,1.9,610.0,6.0,35.0,65.0,820.0,43.3,37.2,36.1,43.3,26.5,8.7,20.2,1.0,8.2,34.0,6.9,19.3,43.7,0.4,0.4,0.7,99.7,Unnamed,forest,2504.02,12505.5,5.47,6.0,20,101.0,-2.6000000000000014,0.3999999999999986,-1.1000000000000014,-3.200000000000001,-0.2099999999999999,0.0,-30.0,0,0.19842829076620824,-0.06718346253229977,-30.0,0,0
MD01,BU03633000,BU0363MD01,Transvaalbuurt West,Transvaalbuurt-West,Transvaalbuurt,Oost,Amsterdam,179107.01,4145,500,500,1610,1030,510,1.8,374.0,3.0,25.0,75.0,1440.0,32.1,27.1,27.8,57.4,12.4,16.8,27.0,1.0,6.9,33.8,11.5,27.4,48.0,0.3,0.7,1.0,72.96,Afrikanerplein,park,3612.65,10285.35,5.74,3.0,4020,425,465,1570,965,595,1.7,446.0,3.0,27.0,73.0,1650.0,38.8,33.2,34.6,56.0,13.4,12.1,26.3,1.0,4.9,23.1,6.5,16.3,36.2,0.3,0.7,1.0,72.96,Afrikanerplein,park,3612.65,10439.06,5.83,4.0,-125,72.0,6.800000000000001,-1.3999999999999986,1.0,-4.700000000000001,0.0899999999999998,0.0,210.0,1,0.1925133689839572,0.2446043165467626,210.0,1,0
MD02,BU03633001,BU0363MD02,Transvaalbuurt Oost,Transvaalbuurt-Oost,Transvaalbuurt,Oost,Amsterdam,199529.55,5090,735,600,2085,1155,515,1.9,422.0,6.0,23.0,77.0,1900.0,33.9,27.8,29.0,54.6,15.3,14.8,24.6,1.0,10.6,51.7,14.7,30.2,62.4,0.3,0.6,1.0,166.1,Unnamed,forest,6496.15,7560.16,3.79,2.0,4750,600,620,1930,1035,560,1.8,510.0,10.0,23.0,77.0,1990.0,41.0,34.3,35.7,52.8,15.6,12.2,24.0,1.0,9.1,36.5,8.3,18.7,50.5,0.6,0.7,1.2,166.17,Unnamed,forest,6469.64,6469.64,3.24,1.0,-340,88.0,6.700000000000003,-1.8000000000000045,0.2999999999999989,-2.6000000000000014,-0.5499999999999998,0.0699999999999931,90.0,1,0.20853080568720378,0.2310344827586208,90.0,1,0
MF01,BU03633100,BU0363MF01,Noordwestkwadrant Indische buurt Noord,Timorpleinbuurt-Noord,Indische Buurt-West,Oost,Amsterdam,176083.53,3805,460,390,1930,765,260,1.7,368.0,11.0,33.0,66.0,1660.0,38.4,32.2,30.8,49.4,16.4,12.9,19.7,1.0,13.6,51.4,24.1,38.9,59.1,0.3,0.7,0.9,277.35,Unnamed,forest,2319.25,628.03,0.36,1.0,3845,420,435,1790,875,320,1.6,464.0,7.0,34.0,66.0,1980.0,45.5,38.8,34.5,50.8,15.4,11.4,20.2,1.0,11.8,47.1,18.5,30.5,58.2,0.4,0.7,1.0,277.35,Unnamed,forest,2319.25,628.03,0.36,1.0,40,96.0,3.6999999999999993,1.3999999999999986,-0.9999999999999982,-1.5,0.0,0.0,320.0,1,0.2608695652173913,0.1201298701298701,320.0,1,0
MF02,BU03633101,BU0363MF02,Noordwestkwadrant Indische buurt Zuid,Timorpleinbuurt-Zuid,Indische Buurt-West,Oost,Amsterdam,145566.74,4640,525,600,2185,930,395,1.7,377.0,3.0,28.0,71.0,2220.0,35.1,29.8,29.4,51.8,15.1,13.8,22.2,1.0,13.1,52.9,23.6,39.0,56.5,0.5,0.5,0.6,273.0,Unnamed,forest,1411.09,151.72,0.1,1.0,4450,430,660,1990,940,425,1.7,445.0,4.0,29.0,71.0,1970.0,40.9,35.3,34.6,52.7,13.5,12.3,22.7,1.0,12.3,51.1,16.6,32.4,55.8,0.5,0.7,0.7,273.0,Unnamed,forest,1411.09,151.72,0.1,1.0,-190,68.0,5.200000000000003,0.9000000000000057,-1.5999999999999996,-1.5,0.0,0.0,-250.0,1,0.18037135278514588,0.17687074829931984,-250.0,0,0
MF03,BU03633102,BU0363MF03,Zuidwestkwadrant Indische buurt,Ambonpleinbuurt,Indische Buurt-West,Oost,Amsterdam,159624.27,4085,585,525,1425,975,570,2.0,352.0,3.0,18.0,82.0,1120.0,27.3,22.2,25.2,58.9,10.1,18.8,31.6,1.0,10.0,43.4,16.5,31.4,40.4,0.5,0.7,0.8,184.83,Unnamed,forest,1322.8,908.89,0.57,2.0,3855,490,475,1375,910,610,1.9,416.0,4.0,21.0,79.0,1130.0,34.5,28.8,34.5,55.7,11.6,14.4,30.5,1.0,10.1,39.5,11.6,25.6,44.6,0.3,0.7,0.8,184.6,Unnamed,forest,1309.21,895.37,0.56,2.0,-230,64.0,9.3,-3.199999999999996,1.5,-4.4,-0.0099999999999998,-0.2300000000000182,10.0,1,0.18181818181818182,0.36904761904761907,10.0,1,0
MG01,BU03633200,BU0363MG01,Noordoostkwadrant Indische buurt,Makassarpleinbuurt,Indische Buurt-Oost,Oost,Amsterdam,267050.15,5845,775,630,2130,1420,890,1.8,363.0,5.0,19.0,81.0,1860.0,29.4,24.5,26.1,60.6,10.5,18.3,31.2,1.0,7.6,31.4,13.3,23.6,28.9,0.2,0.4,1.3,258.21,Unnamed,forest,2104.83,4295.52,1.61,4.0,5690,665,680,1930,1370,1045,1.8,431.0,3.0,19.0,81.0,1790.0,34.3,29.2,31.0,60.8,10.5,14.3,31.4,1.0,7.1,28.6,10.0,18.9,35.9,0.3,0.6,1.4,247.16,Unnamed,forest,322.9,4754.49,1.78,6.0,-155,68.0,4.899999999999999,0.1999999999999957,0.0,-4.0,0.1699999999999999,-11.049999999999985,-70.0,1,0.18732782369146006,0.1877394636015325,-70.0,0,0
MG03,BU03633201,BU0363MG03,Zuidoostkwadrant Indische buurt,Sumatraplantsoenbuurt,Indische Buurt-Oost,Oost,Amsterdam,140401.76,3610,540,450,1310,915,395,2.0,383.0,2.0,22.0,78.0,1320.0,29.6,24.0,27.0,54.8,11.1,15.7,27.5,1.0,7.3,29.6,12.3,21.4,25.4,0.2,0.4,1.1,198.94,Unnamed,forest,14695.05,0.0,0.0,0.0,3760,520,495,1370,895,475,1.9,460.0,3.0,24.0,76.0,1390.0,37.2,30.4,32.7,50.7,14.1,12.5,25.0,1.0,6.5,23.7,9.4,16.3,32.3,0.3,0.4,1.2,199.29,Unnamed,forest,14808.58,0.0,0.0,0.0,150,77.0,5.700000000000003,-4.099999999999994,3.0,-3.1999999999999997,0.0,0.3499999999999943,70.0,1,0.2010443864229765,0.21111111111111122,70.0,0,0
