"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Houthavens";"Amsterdam                               ";"WK0363EC  ";2640;81,1;63,3;;24,2;43,3;4,7;6,6
"Houthavens-West";"Amsterdam                               ";"BU0363EC01";2370;86,4;65,9;;21;47,3;3,6;5,1
"Houthavens-Oost";"Amsterdam                               ";"BU0363EC02";320;;;;39,6;24,8;10,1;13,8
"De Kolenkit";"Amsterdam                               ";"WK0363ED  ";4140;38,3;30,4;32,8;53,6;14,6;12,6;23
"Kolenkitbuurt-Noord";"Amsterdam                               ";"BU0363ED01";1340;34,5;26,1;;51,4;14,2;17,3;27
"Kolenkitbuurt-Zuid";"Amsterdam                               ";"BU0363ED02";630;;;;44,5;18,8;9,9;20,7
"Laan van Spartaan";"Amsterdam                               ";"BU0363ED03";1350;;35,2;;50;17,9;8,2;15,6
"Robert Scottbuurt-West";"Amsterdam                               ";"BU0363ED04";;;;;68;8,5;10,6;24,8
"Landlust";"Amsterdam                               ";"WK0363EE  ";7950;41,6;34,6;35,3;50,6;15,2;11,1;20,8
"Bosleeuw";"Amsterdam                               ";"BU0363EE01";2170;37,1;30,5;33,3;51,1;14,6;11,7;21,2
"Gibraltarbuurt";"Amsterdam                               ";"BU0363EE02";1760;39,6;33,4;;55,4;10,3;12,6;22,7
"Bedrijventerrein Landlust";"Amsterdam                               ";"BU0363EE03";;;;;41,7;18,5;5,4;9
"Landlust-Noord";"Amsterdam                               ";"BU0363EE04";910;;;;52,7;10,9;11,3;23,1
"Erasmusparkbuurt-Oost";"Amsterdam                               ";"BU0363EE05";940;;;;45,3;24,2;9,3;17,5
"Landlust-Zuid";"Amsterdam                               ";"BU0363EE06";1700;46,9;39,3;;47,5;19,1;10,3;20,6
"Erasmuspark";"Amsterdam                               ";"WK0363EF  ";2850;47,5;41,3;40;40,9;19,7;6,3;12,8
"Robert Scottbuurt-Oost";"Amsterdam                               ";"BU0363EF01";820;;;;46,8;17;8,4;17,3
"Erasmusparkbuurt-West";"Amsterdam                               ";"BU0363EF02";2030;49,1;42,7;;38,4;20,9;5,4;10,8
"Centrale Markt";"Amsterdam                               ";"WK0363EG  ";1040;;;;41,2;22,3;7,8;16,9
"Bedrijvencentrum Westerkwartier";"Amsterdam                               ";"BU0363EG01";;;;;;;;
"GWL-terrein";"Amsterdam                               ";"BU0363EG02";520;;;;33,5;26,2;6,8;14,4
"Markthallen";"Amsterdam                               ";"BU0363EG03";;;;;;;;
"Marcanti";"Amsterdam                               ";"BU0363EG04";580;;;;49,3;18;8,9;19,9
"Staatsliedenbuurt";"Amsterdam                               ";"WK0363EH  ";6630;46,1;40,4;37,6;51,3;15,8;11,7;21,7
"Westerstaatsman";"Amsterdam                               ";"BU0363EH01";1650;;43,1;;48,1;16,2;11,5;20
"Fannius Scholtenbuurt";"Amsterdam                               ";"BU0363EH02";1840;45,8;39,8;;51,4;13,6;13,4;21,9
"Staatsliedenbuurt-Noordoost";"Amsterdam                               ";"BU0363EH03";480;;;;62,3;10,1;11,2;30,3
"De Wittenbuurt-Noord";"Amsterdam                               ";"BU0363EH04";640;;;;53,1;15,7;11,3;21,1
"De Wittenbuurt-Zuid";"Amsterdam                               ";"BU0363EH05";360;;;;63,6;9,2;15,8;31,7
"Buyskade e.o.";"Amsterdam                               ";"BU0363EH06";1670;49;42,7;;45,3;22,4;9,2;16,7
