"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"Encoding_3";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes_90"
"1763";"BU0363TE01";"Amsterdam                               ";"BU0363TE01";"     0.0";"     0.6";"     1.3";"     6.9";"     2.3";"     0.4";"     1.5";"     1.5"
"1764";"BU0363TE02";"Amsterdam                               ";"BU0363TE02";"     1.0";"    10.2";"     0.0";"     5.1";"     4.4";"     1.1";"     0.5";"     2.3"
"1765";"BU0363TE03";"Amsterdam                               ";"BU0363TE03";"     1.0";"    11.0";"     0.0";"     6.0";"     5.0";"     1.1";"     0.8";"     2.0"
"1766";"WK0363TF  ";"Amsterdam                               ";"WK0363TF  ";"     0.5";"     4.1";"     0.1";"     2.1";"     2.0";"     0.4";"     1.8";"     3.0"
"1767";"BU0363TF01";"Amsterdam                               ";"BU0363TF01";"     0.3";"     3.9";"     0.0";"     2.1";"     2.4";"     0.4";"     1.7";"     2.9"
"1768";"BU0363TF02";"Amsterdam                               ";"BU0363TF02";"     1.1";"     8.5";"     0.4";"     4.3";"     3.5";"     0.4";"     1.5";"     2.7"
"1769";"BU0363TF03";"Amsterdam                               ";"BU0363TF03";"     0.2";"     1.0";"     0.1";"     0.4";"     0.2";"     0.3";"     2.3";"     3.5"
"1770";"WK0363TG  ";"Amsterdam                               ";"WK0363TG  ";"     1.7";"    10.5";"     0.7";"     3.9";"     2.9";"     0.9";"     1.5";"     2.8"
"1771";"BU0363TG01";"Amsterdam                               ";"BU0363TG01";"     1.0";"    11.0";"     0.0";"     6.0";"     5.0";"     0.9";"     0.9";"     2.4"
"1772";"BU0363TG02";"Amsterdam                               ";"BU0363TG02";"     2.0";"    10.3";"     0.9";"     3.0";"     2.0";"     0.9";"     1.7";"     3.0"
"1773";"BU0363TG03";"Amsterdam                               ";"BU0363TG03";"     2.0";"    10.4";"     1.0";"     3.1";"     2.0";"     0.8";"     1.6";"     2.9"
"1774";"WK0363TH  ";"Amsterdam                               ";"WK0363TH  ";"     1.2";"     7.9";"     0.4";"     1.8";"     1.4";"     1.1";"     1.5";"     3.0"
"1775";"BU0363TH01";"Amsterdam                               ";"BU0363TH01";"     0.0";"     1.6";"     0.0";"     0.0";"     0.2";"     1.0";"     1.3";"     2.3"
"1776";"BU0363TH02";"Amsterdam                               ";"BU0363TH02";"     1.1";"     9.1";"     0.0";"     1.4";"     1.6";"     0.8";"     1.0";"     2.8"
"1777";"BU0363TH03";"Amsterdam                               ";"BU0363TH03";"     1.5";"    10.1";"     0.2";"     1.9";"     1.5";"     1.0";"     1.6";"     3.0"
"1778";"BU0363TH04";"Amsterdam                               ";"BU0363TH04";"     2.0";"    10.0";"     1.0";"     3.4";"     2.0";"     1.2";"     1.9";"     3.2"
"1779";"BU0363TH05";"Amsterdam                               ";"BU0363TH05";"     1.1";"     4.9";"     0.9";"     1.8";"     1.0";"     1.5";"     2.3";"     3.6"
"1780";"WK0363TJ  ";"Amsterdam                               ";"WK0363TJ  ";"     1.1";"     3.6";"     0.7";"     2.5";"     2.5";"     0.8";"     1.7";"     0.9"
"1781";"BU0363TJ01";"Amsterdam                               ";"BU0363TJ01";"     1.0";"     2.5";"     0.6";"     2.4";"     2.0";"     0.8";"     2.0";"     0.8"
"1782";"BU0363TJ02";"Amsterdam                               ";"BU0363TJ02";"     1.3";"     5.4";"     1.2";"     3.5";"     3.9";"     0.5";"     1.5";"     1.1"
"1783";"BU0363TJ03";"Amsterdam                               ";"BU0363TJ03";"     1.0";"     3.2";"     0.5";"     2.1";"     2.0";"     0.9";"     1.7";"     0.9"
"1784";"WK0363TK  ";"Amsterdam                               ";"WK0363TK  ";"     0.0";"     0.0";"     0.1";"     0.7";"     0.0";"     0.8";"     2.0";"     3.0"
"1785";"BU0363TK01";"Amsterdam                               ";"BU0363TK01";"     0.0";"     0.0";"     0.1";"     0.7";"     0.0";"     0.8";"     1.9";"     3.0"
"1786";"BU0363TK02";"Amsterdam                               ";"BU0363TK02";"     0.0";"     0.0";"     0.4";"     0.4";"     0.0";"     1.4";"     3.1";"     4.2"
"1787";"BU0363TK03";"Amsterdam                               ";"BU0363TK03";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1788";"WK0363TL  ";"Amsterdam                               ";"WK0363TL  ";"     0.8";"     4.3";"     0.6";"     1.1";"     2.5";"     0.9";"     1.5";"     2.2"
"1789";"BU0363TL01";"Amsterdam                               ";"BU0363TL01";"     0.5";"     3.4";"     0.3";"     0.8";"     1.8";"     1.3";"     0.5";"     1.7"
"1790";"BU0363TL02";"Amsterdam                               ";"BU0363TL02";"     0.4";"     7.6";"     1.1";"     0.6";"     4.2";"     0.8";"     1.9";"     2.5"
"1791";"BU0363TL03";"Amsterdam                               ";"BU0363TL03";"     1.0";"     3.3";"     0.5";"     1.4";"     2.1";"     0.9";"     1.8";"     2.4"
"1792";"BU0363TL04";"Amsterdam                               ";"BU0363TL04";"     0.9";"     4.1";"     0.6";"     1.2";"     2.6";"     0.8";"     1.8";"     2.4"
"1793";"WK0363TM  ";"Amsterdam                               ";"WK0363TM  ";"     0.5";"     2.8";"     0.0";"     0.9";"     1.4";"     0.7";"     2.1";"     3.0"
"1794";"BU0363TM01";"Amsterdam                               ";"BU0363TM01";"     0.5";"     2.8";"     0.0";"     0.8";"     1.4";"     0.9";"     1.5";"     2.6"
"1795";"BU0363TM02";"Amsterdam                               ";"BU0363TM02";"     0.5";"     3.1";"     0.0";"     1.0";"     1.6";"     0.7";"     2.2";"     3.0"
"1796";"BU0363TM03";"Amsterdam                               ";"BU0363TM03";"     0.4";"     2.7";"     0.0";"     0.7";"     1.3";"     0.6";"     2.2";"     3.2"
"1797";"BU0363TM04";"Amsterdam                               ";"BU0363TM04";"     0.5";"     2.9";"     0.0";"     1.0";"     1.4";"     0.7";"     2.4";"     3.1"
