"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"Encoding_3";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes_90"
"1373";"BU0363FB08";"Amsterdam                               ";"BU0363FB08";"     6.0";"    14.8";"     4.3";"     4.0";"     5.6";"     0.3";"     1.4";"     3.9"
"1374";"WK0363FC  ";"Amsterdam                               ";"WK0363FC  ";"     4.6";"    14.1";"     2.9";"     5.8";"     9.0";"     0.5";"     0.8";"     3.1"
"1375";"BU0363FC01";"Amsterdam                               ";"BU0363FC01";"     4.9";"    12.7";"     2.8";"     6.4";"    12.3";"     0.3";"     0.9";"     2.6"
"1376";"BU0363FC02";"Amsterdam                               ";"BU0363FC02";"     6.3";"    18.5";"     3.4";"     7.0";"     9.9";"     0.4";"     0.4";"     3.2"
"1377";"BU0363FC03";"Amsterdam                               ";"BU0363FC03";"     3.0";"    11.4";"     2.5";"     4.3";"     5.5";"     0.6";"     0.9";"     3.6"
"1378";"WK0363FD  ";"Amsterdam                               ";"WK0363FD  ";"     2.7";"    11.2";"     0.8";"     5.5";"    11.3";"     0.4";"     1.3";"     3.0"
"1379";"BU0363FD01";"Amsterdam                               ";"BU0363FD01";"     3.6";"    11.5";"     0.4";"     5.7";"    13.6";"     0.3";"     1.3";"     2.5"
"1380";"BU0363FD02";"Amsterdam                               ";"BU0363FD02";"     0.9";"     8.5";"     1.0";"     3.5";"     9.4";"     0.4";"     1.4";"     3.2"
"1381";"BU0363FD03";"Amsterdam                               ";"BU0363FD03";"     2.3";"    11.1";"     1.0";"     5.3";"    12.1";"     0.2";"     1.2";"     3.2"
"1382";"BU0363FD04";"Amsterdam                               ";"BU0363FD04";"     3.2";"    12.5";"     0.9";"     6.6";"     9.8";"     0.6";"     1.2";"     3.2"
"1383";"WK0363FE  ";"Amsterdam                               ";"WK0363FE  ";"     2.6";"     8.5";"     0.9";"     6.6";"     7.6";"     0.6";"     0.5";"     3.1"
"1384";"BU0363FE01";"Amsterdam                               ";"BU0363FE01";"     6.8";"    17.5";"     2.7";"     9.5";"    14.4";"     0.3";"     0.4";"     3.0"
"1385";"BU0363FE02";"Amsterdam                               ";"BU0363FE02";"     2.7";"    10.2";"     0.6";"     8.5";"     9.5";"     0.4";"     0.4";"     3.1"
"1386";"BU0363FE03";"Amsterdam                               ";"BU0363FE03";"     1.3";"     4.5";"     0.5";"     4.4";"     4.2";"     0.9";"     0.5";"     3.2"
"1387";"BU0363FE04";"Amsterdam                               ";"BU0363FE04";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1388";"WK0363FF  ";"Amsterdam                               ";"WK0363FF  ";"     1.1";"     1.9";"     0.9";"     1.1";"     0.7";"     1.2";"     2.8";"     3.9"
"1389";"BU0363FF01";"Amsterdam                               ";"BU0363FF01";"     0.2";"     0.9";"     0.3";"     1.2";"     1.1";"     1.3";"     3.1";"     3.3"
"1390";"BU0363FF02";"Amsterdam                               ";"BU0363FF02";"     3.0";"     3.9";"     2.0";"     1.0";"     0.0";"     0.8";"     2.2";"     4.7"
"1391";"BU0363FF03";"Amsterdam                               ";"BU0363FF03";"     0.1";"     0.3";"     0.1";"     1.2";"     0.5";"     2.1";"     3.0";"     5.0"
"1392";"WK0363FG  ";"Amsterdam                               ";"WK0363FG  ";"     0.6";"     3.6";"     0.1";"     1.8";"     0.7";"     0.7";"     1.5";"     5.3"
"1393";"BU0363FG01";"Amsterdam                               ";"BU0363FG01";"     0.5";"     2.8";"     0.1";"     2.5";"     0.7";"     0.9";"     1.8";"     5.6"
"1394";"BU0363FG02";"Amsterdam                               ";"BU0363FG02";"     0.3";"     2.5";"     0.0";"     1.0";"     0.0";"     1.1";"     1.8";"     5.5"
"1395";"BU0363FG03";"Amsterdam                               ";"BU0363FG03";"     1.0";"     5.1";"     0.2";"     2.0";"     1.3";"     0.4";"     1.0";"     4.8"
"1396";"WK0363FH  ";"Amsterdam                               ";"WK0363FH  ";"     2.5";"    10.0";"     1.8";"    10.0";"     9.8";"     0.4";"     1.5";"     5.2"
"1397";"BU0363FH01";"Amsterdam                               ";"BU0363FH01";"     1.0";"     3.0";"     1.0";"     8.0";"     5.1";"     0.6";"     2.0";"     4.9"
"1398";"BU0363FH02";"Amsterdam                               ";"BU0363FH02";"     2.6";"    10.2";"     1.8";"    10.1";"     9.9";"     0.4";"     1.5";"     5.2"
"1399";"WK0363FJ  ";"Amsterdam                               ";"WK0363FJ  ";"     4.5";"    17.6";"     1.4";"     8.9";"    12.3";"     0.4";"     1.1";"     4.3"
"1400";"BU0363FJ01";"Amsterdam                               ";"BU0363FJ01";"     2.7";"    13.3";"     2.5";"     9.6";"     6.5";"     0.2";"     1.8";"     4.9"
"1401";"BU0363FJ02";"Amsterdam                               ";"BU0363FJ02";"     6.1";"    26.0";"     2.3";"    16.1";"    14.8";"     0.4";"     1.5";"     4.6"
"1402";"BU0363FJ03";"Amsterdam                               ";"BU0363FJ03";"     6.5";"    24.6";"     1.1";"    10.7";"    17.5";"     0.3";"     1.1";"     4.3"
"1403";"BU0363FJ04";"Amsterdam                               ";"BU0363FJ04";"     3.5";"    11.4";"     0.5";"     3.8";"    10.9";"     0.5";"     0.7";"     4.0"
"1404";"WK0363FK  ";"Amsterdam                               ";"WK0363FK  ";"     3.4";"    16.1";"     2.2";"    10.6";"    11.3";"     0.6";"     1.2";"     3.8"
"1405";"BU0363FK01";"Amsterdam                               ";"BU0363FK01";"     3.4";"    18.6";"     2.1";"    11.2";"     7.1";"     0.6";"     1.8";"     4.3"
"1406";"BU0363FK02";"Amsterdam                               ";"BU0363FK02";"     2.4";"    15.4";"     2.1";"     8.1";"     4.8";"     1.0";"     1.6";"     4.1"
"1407";"BU0363FK03";"Amsterdam                               ";"BU0363FK03";"     5.7";"    26.0";"     2.3";"    18.7";"    17.4";"     0.7";"     1.0";"     3.7"
"1408";"BU0363FK04";"Amsterdam                               ";"BU0363FK04";"     4.3";"    13.2";"     2.2";"     7.6";"    18.8";"     0.3";"     0.6";"     3.5"
"1409";"BU0363FK05";"Amsterdam                               ";"BU0363FK05";"     1.3";"     3.3";"     2.5";"     3.5";"    12.0";"     0.5";"     0.5";"     3.0"
"1410";"WK0363FL  ";"Amsterdam                               ";"WK0363FL  ";"     3.1";"    12.9";"     3.4";"     8.8";"    15.2";"     0.5";"     0.6";"     1.8"
"1411";"BU0363FL01";"Amsterdam                               ";"BU0363FL01";"     2.0";"     6.7";"     2.7";"     7.4";"     6.8";"     0.9";"     0.8";"     2.1"
"1412";"BU0363FL02";"Amsterdam                               ";"BU0363FL02";"     3.2";"    15.1";"     3.5";"     7.5";"    19.0";"     0.4";"     0.4";"     1.8"
"1413";"BU0363FL03";"Amsterdam                               ";"BU0363FL03";"     4.0";"    16.1";"     3.8";"    11.0";"    18.9";"     0.3";"     0.6";"     1.5"
"1414";"WK0363FM  ";"Amsterdam                               ";"WK0363FM  ";"     2.6";"     8.8";"     2.0";"    10.4";"     9.3";"     0.4";"     0.7";"     1.4"
"1415";"BU0363FM01";"Amsterdam                               ";"BU0363FM01";"     1.0";"     4.2";"     0.6";"     9.8";"     5.3";"     0.7";"     1.0";"     2.3"
"1416";"BU0363FM02";"Amsterdam                               ";"BU0363FM02";"     2.7";"     7.8";"     1.6";"     9.9";"     6.9";"     0.3";"     0.9";"     1.6"
"1417";"BU0363FM03";"Amsterdam                               ";"BU0363FM03";"     2.6";"    17.8";"     7.2";"    16.3";"    20.5";"     0.7";"     1.1";"     1.8"
"1418";"BU0363FM04";"Amsterdam                               ";"BU0363FM04";"     2.9";"     9.4";"     2.0";"    10.2";"     9.5";"     0.3";"     0.4";"     1.0"
"1419";"BU0363FM05";"Amsterdam                               ";"BU0363FM05";"     2.5";"     8.5";"     1.6";"     8.4";"     9.4";"     0.2";"     0.5";"     1.1"
"1420";"BU0363FM06";"Amsterdam                               ";"BU0363FM06";"     3.0";"     9.3";"     2.0";"    10.4";"    15.4";"     0.5";"     0.3";"     0.7"
"1421";"WK0363FN  ";"Amsterdam                               ";"WK0363FN  ";"     3.5";"    11.5";"     1.8";"     5.9";"    15.4";"     0.5";"     0.7";"     2.1"
"1422";"BU0363FN01";"Amsterdam                               ";"BU0363FN01";"     4.9";"    15.8";"     2.0";"     7.2";"    19.3";"     0.4";"     0.8";"     2.1"
"1423";"BU0363FN02";"Amsterdam                               ";"BU0363FN02";"     4.9";"    16.5";"     2.5";"     8.4";"    22.4";"     0.8";"     0.3";"     1.6"
"1424";"BU0363FN03";"Amsterdam                               ";"BU0363FN03";"     0.7";"     0.8";"     0.0";"     1.0";"     5.1";"     0.7";"     1.5";"     2.9"
