"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"921";"GM0363    ";"Amsterdam                               ";"GM0363    ";"     5.6";"    32.0";"    19.1";"    28.0";"    52.8";"     0.5";"     0.9";"     2.5"
"922";"WK036300  ";"Amsterdam                               ";"WK036300  ";"    11.7";"   147.0";"   204.0";"   234.5";"   331.3";"     0.5";"     1.3";"     0.7"
"923";"BU03630000";"Amsterdam                               ";"BU03630000";"    10.6";"   140.7";"   181.2";"   202.7";"   295.7";"     0.4";"     1.1";"     0.4"
"924";"BU03630001";"Amsterdam                               ";"BU03630001";"    11.0";"   154.4";"   202.7";"   242.5";"   330.2";"     0.5";"     1.3";"     0.7"
"925";"BU03630002";"Amsterdam                               ";"BU03630002";"    12.0";"   143.8";"   204.7";"   243.3";"   330.4";"     0.4";"     1.4";"     0.8"
"926";"BU03630003";"Amsterdam                               ";"BU03630003";"    13.3";"   160.8";"   228.4";"   261.1";"   375.3";"     0.8";"     1.4";"     1.0"
"927";"BU03630004";"Amsterdam                               ";"BU03630004";"    12.9";"   149.7";"   228.0";"   242.7";"   370.2";"     0.7";"     1.5";"     1.1"
"928";"WK036301  ";"Amsterdam                               ";"WK036301  ";"     9.7";"   162.7";"   183.7";"   229.4";"   323.9";"     0.8";"     0.9";"     0.9"
"929";"BU03630100";"Amsterdam                               ";"BU03630100";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"930";"BU03630101";"Amsterdam                               ";"BU03630101";"     8.1";"   159.0";"   166.5";"   207.8";"   306.1";"     0.6";"     0.6";"     0.5"
"931";"BU03630102";"Amsterdam                               ";"BU03630102";"     7.8";"   147.0";"   174.8";"   208.2";"   290.3";"     0.8";"     0.9";"     0.5"
"932";"BU03630103";"Amsterdam                               ";"BU03630103";"     9.4";"   173.1";"   172.3";"   230.2";"   326.3";"     0.6";"     0.9";"     0.8"
"933";"BU03630104";"Amsterdam                               ";"BU03630104";"     9.2";"   162.7";"   188.2";"   235.7";"   321.9";"     1.0";"     1.1";"     0.8"
"934";"BU03630105";"Amsterdam                               ";"BU03630105";"    11.3";"   178.0";"   201.3";"   252.5";"   355.1";"     0.8";"     1.0";"     1.2"
"935";"BU03630106";"Amsterdam                               ";"BU03630106";"    11.8";"   163.9";"   212.1";"   255.3";"   359.7";"     1.0";"     1.2";"     1.1"
"936";"BU03630107";"Amsterdam                               ";"BU03630107";"    10.9";"   127.7";"   168.6";"   194.4";"   285.4";"     0.9";"     1.2";"     1.4"
"937";"WK036302  ";"Amsterdam                               ";"WK036302  ";"     9.8";"   152.7";"   134.4";"   177.4";"   287.5";"     0.4";"     0.6";"     1.2"
"938";"BU03630200";"Amsterdam                               ";"BU03630200";"     8.3";"   147.6";"   112.5";"   152.0";"   253.2";"     0.3";"     0.5";"     0.9"
"939";"BU03630201";"Amsterdam                               ";"BU03630201";"    10.5";"   166.4";"   130.3";"   178.2";"   275.4";"     0.4";"     0.7";"     1.1"
"940";"BU03630202";"Amsterdam                               ";"BU03630202";"    10.6";"   155.4";"   155.2";"   204.1";"   319.2";"     0.5";"     0.8";"     1.4"
"941";"BU03630203";"Amsterdam                               ";"BU03630203";"     9.8";"   122.2";"   143.0";"   164.4";"   318.0";"     0.6";"     0.5";"     1.8"
"942";"WK036303  ";"Amsterdam                               ";"WK036303  ";"    11.2";"    97.0";"   125.3";"   127.4";"   273.9";"     0.5";"     0.9";"     2.0"
"943";"BU03630300";"Amsterdam                               ";"BU03630300";"    10.9";"    93.7";"   132.6";"   121.7";"   302.8";"     0.6";"     0.6";"     2.1"
"944";"BU03630301";"Amsterdam                               ";"BU03630301";"    10.7";"   122.2";"   168.0";"   163.7";"   337.8";"     0.5";"     0.9";"     1.7"
"945";"BU03630302";"Amsterdam                               ";"BU03630302";"    10.8";"   104.3";"   137.6";"   138.7";"   316.1";"     0.3";"     0.7";"     2.0"
"946";"BU03630303";"Amsterdam                               ";"BU03630303";"    11.5";"    75.4";"    91.4";"    96.8";"   205.7";"     0.5";"     1.2";"     2.1"
"947";"BU03630304";"Amsterdam                               ";"BU03630304";"    11.1";"    99.9";"   123.6";"   129.4";"   237.2";"     0.7";"     1.4";"     1.7"
"948";"BU03630305";"Amsterdam                               ";"BU03630305";"    13.4";"   132.8";"   166.1";"   179.3";"   294.3";"     0.7";"     1.1";"     1.6"
"949";"BU03630306";"Amsterdam                               ";"BU03630306";"    10.8";"   106.0";"   135.6";"   140.6";"   304.7";"     0.8";"     0.6";"     1.9"
"950";"WK036304  ";"Amsterdam                               ";"WK036304  ";"     9.2";"    70.9";"   124.2";"   118.8";"   193.0";"     0.4";"     1.6";"     1.1"
"951";"BU03630400";"Amsterdam                               ";"BU03630400";"     5.3";"    49.3";"    93.5";"    84.1";"   138.6";"     0.8";"     1.5";"     0.8"
"952";"BU03630401";"Amsterdam                               ";"BU03630401";"     8.9";"    68.3";"   123.1";"   115.4";"   179.1";"     0.5";"     1.5";"     0.8"
"953";"BU03630402";"Amsterdam                               ";"BU03630402";"     6.2";"    39.0";"    63.6";"    54.6";"   114.6";"     0.4";"     1.8";"     1.2"
"954";"BU03630403";"Amsterdam                               ";"BU03630403";"    10.7";"    88.9";"   144.7";"   144.4";"   219.5";"     0.2";"     1.4";"     0.8"
"955";"BU03630404";"Amsterdam                               ";"BU03630404";"    11.1";"    92.9";"   168.3";"   169.0";"   248.7";"     0.3";"     1.6";"     1.0"
"956";"BU03630405";"Amsterdam                               ";"BU03630405";"     9.0";"    54.1";"   114.4";"    91.6";"   161.4";"     0.3";"     1.8";"     1.3"
"957";"BU03630406";"Amsterdam                               ";"BU03630406";"     4.8";"    19.6";"    28.6";"    35.7";"    60.0";"     0.2";"     1.6";"     1.6"
"958";"BU03630407";"Amsterdam                               ";"BU03630407";"    12.6";"   121.1";"   202.5";"   198.7";"   321.4";"     0.5";"     1.6";"     1.2"
"959";"BU03630408";"Amsterdam                               ";"BU03630408";"     9.9";"    67.1";"   116.4";"   105.7";"   197.3";"     0.4";"     1.7";"     1.6"
"960";"WK036305  ";"Amsterdam                               ";"WK036305  ";"     6.4";"    79.3";"    48.9";"    57.0";"   120.5";"     0.5";"     0.6";"     1.2"
"961";"BU03630500";"Amsterdam                               ";"BU03630500";"     2.8";"    46.9";"    27.7";"    30.8";"    53.8";"     0.9";"     0.7";"     1.1"
"962";"BU03630501";"Amsterdam                               ";"BU03630501";"     8.2";"   144.8";"   115.7";"   144.8";"   259.8";"     0.4";"     0.2";"     0.7"
"963";"BU03630502";"Amsterdam                               ";"BU03630502";"     8.8";"    93.1";"    57.1";"    61.0";"   152.2";"     0.6";"     0.4";"     1.2"
"964";"BU03630503";"Amsterdam                               ";"BU03630503";"     5.5";"    57.3";"    25.2";"    29.3";"    70.4";"     0.3";"     0.8";"     1.5"
"965";"BU03630505";"Amsterdam                               ";"BU03630505";"     6.6";"    55.2";"    19.6";"    27.9";"    69.3";"     0.5";"     0.9";"     1.7"
"966";"BU03630506";"Amsterdam                               ";"BU03630506";"     9.9";"    92.0";"    49.6";"    56.3";"   145.4";"     0.5";"     0.7";"     1.5"
"967";"WK036306  ";"Amsterdam                               ";"WK036306  ";"    11.5";"   110.9";"    85.1";"    98.9";"   207.0";"     0.4";"     0.6";"     1.7"
"968";"BU03630600";"Amsterdam                               ";"BU03630600";"     8.9";"    99.0";"    61.6";"    62.1";"   157.2";"     0.6";"     0.6";"     1.4"
"969";"BU03630602";"Amsterdam                               ";"BU03630602";"    12.7";"   114.8";"    85.8";"   111.0";"   203.2";"     0.4";"     0.8";"     1.7"
"970";"BU03630603";"Amsterdam                               ";"BU03630603";"    10.2";"    97.3";"    56.0";"    59.3";"   155.1";"     0.6";"     0.6";"     1.7"
"971";"BU03630604";"Amsterdam                               ";"BU03630604";"    10.8";"    95.0";"    64.8";"    69.4";"   165.7";"     0.3";"     0.5";"     2.0"
"972";"BU03630605";"Amsterdam                               ";"BU03630605";"    13.0";"    98.1";"    77.5";"    84.2";"   193.1";"     0.2";"     0.7";"     2.1"
"973";"BU03630606";"Amsterdam                               ";"BU03630606";"    13.6";"   117.0";"   112.1";"   135.0";"   261.4";"     0.3";"     0.6";"     1.8"
"974";"BU03630607";"Amsterdam                               ";"BU03630607";"    13.0";"   113.9";"   113.9";"   125.3";"   292.1";"     0.5";"     0.2";"     2.0"
"975";"BU03630608";"Amsterdam                               ";"BU03630608";"    13.1";"   101.5";"    89.6";"    92.0";"   210.9";"     0.4";"     0.6";"     2.1"
"976";"BU03630609";"Amsterdam                               ";"BU03630609";"    13.8";"   104.9";"   100.9";"   110.3";"   287.9";"     0.4";"     0.2";"     2.2"
"977";"BU03630610";"Amsterdam                               ";"BU03630610";"     9.8";"   115.1";"    73.4";"    81.7";"   175.4";"     0.4";"     0.5";"     1.4"
"978";"BU03630611";"Amsterdam                               ";"BU03630611";"    10.5";"   119.7";"    83.8";"   100.0";"   195.0";"     0.2";"     0.6";"     1.5"
"979";"WK036307  ";"Amsterdam                               ";"WK036307  ";"    12.4";"    89.2";"    96.5";"   105.2";"   254.4";"     0.4";"     0.7";"     2.3"
"980";"BU03630700";"Amsterdam                               ";"BU03630700";"    12.9";"    94.6";"    94.5";"   103.2";"   268.9";"     0.7";"     0.3";"     2.2"
"981";"BU03630701";"Amsterdam                               ";"BU03630701";"    12.4";"    91.6";"    88.9";"    95.3";"   257.4";"     0.5";"     0.3";"     2.2"
"982";"BU03630702";"Amsterdam                               ";"BU03630702";"     9.7";"    78.4";"    90.6";"    92.8";"   252.6";"     0.6";"     0.3";"     2.3"
"983";"BU03630703";"Amsterdam                               ";"BU03630703";"     9.7";"    77.2";"    80.6";"    90.9";"   245.4";"     0.6";"     0.2";"     2.5"
"984";"BU03630704";"Amsterdam                               ";"BU03630704";"    11.9";"   102.1";"   117.3";"   127.4";"   305.2";"     0.3";"     0.6";"     2.2"
"985";"BU03630705";"Amsterdam                               ";"BU03630705";"    13.5";"   103.4";"    87.8";"   110.9";"   257.2";"     0.5";"     0.7";"     2.5"
"986";"BU03630706";"Amsterdam                               ";"BU03630706";"    13.5";"    68.4";"    91.4";"    87.6";"   198.6";"     0.3";"     1.2";"     2.3"
"987";"BU03630707";"Amsterdam                               ";"BU03630707";"    14.7";"    78.4";"    71.4";"    82.7";"   188.9";"     0.4";"     1.0";"     2.5"
"988";"WK036308  ";"Amsterdam                               ";"WK036308  ";"     7.6";"    26.2";"    34.2";"    40.9";"    80.7";"     0.4";"     1.0";"     1.8"
"989";"BU03630800";"Amsterdam                               ";"BU03630800";"     8.1";"    33.1";"    51.5";"    53.3";"   105.6";"     0.4";"     1.1";"     2.0"
"990";"BU03630801";"Amsterdam                               ";"BU03630801";"     7.8";"    25.9";"    25.3";"    38.7";"    75.8";"     0.4";"     0.7";"     1.8"
"991";"BU03630803";"Amsterdam                               ";"BU03630803";"     6.1";"    15.7";"    17.9";"    25.2";"    48.9";"     0.5";"     1.0";"     1.7"
"992";"BU03630804";"Amsterdam                               ";"BU03630804";"     8.6";"    23.0";"    21.5";"    27.2";"    56.3";"     0.9";"     0.5";"     1.3"
"993";"WK036309  ";"Amsterdam                               ";"WK036309  ";"     5.4";"    13.0";"    10.5";"    12.6";"    28.5";"     0.6";"     1.5";"     1.6"
"994";"BU03630900";"Amsterdam                               ";"BU03630900";"     0.9";"     1.7";"     3.3";"     5.2";"    12.8";"     0.7";"     2.6";"     2.1"
"995";"BU03630901";"Amsterdam                               ";"BU03630901";"     1.8";"     4.6";"     4.8";"     5.5";"    21.0";"     0.9";"     2.2";"     1.9"
"996";"BU03630902";"Amsterdam                               ";"BU03630902";"     3.8";"     5.6";"     4.6";"     5.0";"    17.9";"     0.2";"     1.8";"     1.9"
"997";"BU03630903";"Amsterdam                               ";"BU03630903";"     5.0";"    11.4";"    10.8";"    11.2";"    24.7";"     0.6";"     1.4";"     1.4"
"998";"BU03630904";"Amsterdam                               ";"BU03630904";"     6.2";"    15.2";"    11.3";"    15.0";"    28.1";"     0.3";"     1.4";"     1.4"
"999";"BU03630905";"Amsterdam                               ";"BU03630905";"     9.6";"    30.6";"    18.5";"    24.2";"    41.2";"     0.6";"     1.3";"     1.3"
"1000";"BU03630907";"Amsterdam                               ";"BU03630907";"    11.4";"    34.7";"    19.1";"    29.6";"    51.7";"     0.7";"     0.8";"     1.1"
"1001";"BU03630908";"Amsterdam                               ";"BU03630908";"     4.8";"     8.8";"    11.6";"    11.5";"    32.0";"     0.8";"     1.4";"     1.6"
"1002";"WK036310  ";"Amsterdam                               ";"WK036310  ";"     0.1";"     0.1";"     0.4";"     0.8";"     1.3";"     2.6";"     2.7";"     3.2"
"1003";"BU03631000";"Amsterdam                               ";"BU03631000";"     0.4";"     0.1";"     0.9";"     1.4";"     4.4";"     1.0";"     0.9";"     3.5"
"1004";"BU03631001";"Amsterdam                               ";"BU03631001";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1005";"BU03631002";"Amsterdam                               ";"BU03631002";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1006";"BU03631003";"Amsterdam                               ";"BU03631003";"     0.0";"     0.0";"     0.2";"     0.7";"     0.0";"     2.9";"     2.6";"     2.4"
"1007";"BU03631004";"Amsterdam                               ";"BU03631004";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1008";"BU03631005";"Amsterdam                               ";"BU03631005";"     0.0";"     0.0";"     0.0";"     0.1";"     0.0";"     5.3";"     5.9";"     6.3"
"1009";"BU03631006";"Amsterdam                               ";"BU03631006";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1010";"BU03631007";"Amsterdam                               ";"BU03631007";"     0.2";"     0.5";"     0.8";"     0.7";"     1.1";"     1.6";"     1.4";"     1.4"
"1011";"WK036311  ";"Amsterdam                               ";"WK036311  ";"     0.9";"     2.6";"     0.0";"     5.7";"     5.6";"     1.7";"     1.0";"     1.0"
"1012";"BU03631100";"Amsterdam                               ";"BU03631100";"     1.0";"     3.3";"     0.5";"     4.5";"     6.0";"     2.1";"     1.2";"     0.5"
"1013";"BU03631102";"Amsterdam                               ";"BU03631102";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1014";"BU03631103";"Amsterdam                               ";"BU03631103";"     0.0";"     0.0";"     0.0";"     1.8";"     0.3";"     2.6";"     3.7";"     4.3"
"1015";"BU03631104";"Amsterdam                               ";"BU03631104";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     3.3";"     5.3";"     4.0"
"1016";"BU03631105";"Amsterdam                               ";"BU03631105";"     1.0";"     3.0";"     0.0";"     6.5";"     6.5";"     1.6";"     0.5";"     0.5"
"1017";"BU03631107";"Amsterdam                               ";"BU03631107";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1018";"BU03631109";"Amsterdam                               ";"BU03631109";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1019";"WK036312  ";"Amsterdam                               ";"WK036312  ";"     1.3";"     6.6";"     4.0";"     6.9";"    16.0";"     0.4";"     0.9";"     2.7"
"1020";"BU03631200";"Amsterdam                               ";"BU03631200";"     1.5";"     7.1";"     3.8";"     7.0";"    16.8";"     0.4";"     0.8";"     3.0"
"1021";"BU03631201";"Amsterdam                               ";"BU03631201";"     0.4";"     5.2";"     4.5";"     6.7";"    13.3";"     0.5";"     1.3";"     1.8"
"1022";"WK036313  ";"Amsterdam                               ";"WK036313  ";"     3.5";"    19.5";"     8.0";"    16.5";"    34.2";"     0.4";"     0.8";"     2.3"
"1023";"BU03631300";"Amsterdam                               ";"BU03631300";"     4.3";"    27.7";"    10.3";"    21.5";"    39.4";"     0.2";"     1.2";"     1.8"
"1024";"BU03631301";"Amsterdam                               ";"BU03631301";"     3.2";"    16.9";"     8.4";"    15.5";"    32.8";"     0.3";"     0.9";"     2.2"
"1025";"BU03631302";"Amsterdam                               ";"BU03631302";"     6.5";"    42.9";"    15.1";"    27.5";"    61.9";"     0.2";"     1.1";"     2.0"
"1026";"BU03631303";"Amsterdam                               ";"BU03631303";"     3.7";"    19.2";"     7.5";"    17.0";"    34.2";"     0.3";"     0.8";"     2.3"
"1027";"BU03631304";"Amsterdam                               ";"BU03631304";"     2.0";"    10.1";"     4.9";"    12.0";"    24.9";"     0.5";"     0.6";"     2.5"
"1028";"BU03631305";"Amsterdam                               ";"BU03631305";"     2.0";"     9.1";"     4.1";"     9.8";"    22.8";"     0.7";"     0.4";"     2.7"
"1029";"BU03631306";"Amsterdam                               ";"BU03631306";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1030";"BU03631307";"Amsterdam                               ";"BU03631307";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1031";"WK036314  ";"Amsterdam                               ";"WK036314  ";"     4.2";"    37.1";"    20.9";"    22.7";"    62.8";"     0.3";"     0.8";"     2.3"
"1032";"BU03631400";"Amsterdam                               ";"BU03631400";"     7.6";"    75.4";"    33.7";"    43.5";"   113.5";"     0.4";"     0.8";"     1.9"
"1033";"BU03631401";"Amsterdam                               ";"BU03631401";"     5.6";"    57.7";"    27.9";"    36.3";"    97.2";"     0.4";"     0.8";"     2.1"
"1034";"BU03631402";"Amsterdam                               ";"BU03631402";"     5.6";"    53.3";"    21.6";"    31.4";"    80.1";"     0.2";"     1.0";"     2.0"
"1035";"BU03631403";"Amsterdam                               ";"BU03631403";"     3.2";"    27.9";"    16.0";"    20.0";"    53.1";"     0.2";"     1.0";"     2.3"
"1036";"BU03631404";"Amsterdam                               ";"BU03631404";"     2.7";"    22.6";"    16.5";"    15.4";"    42.9";"     0.3";"     0.8";"     2.6"
"1037";"BU03631405";"Amsterdam                               ";"BU03631405";"     4.4";"    32.4";"    22.7";"    16.3";"    53.8";"     0.5";"     0.6";"     2.5"
"1038";"WK036315  ";"Amsterdam                               ";"WK036315  ";"     3.2";"    20.3";"    15.5";"    17.7";"    34.6";"     0.7";"     0.7";"     2.8"
"1039";"BU03631500";"Amsterdam                               ";"BU03631500";"     1.7";"    18.3";"    12.0";"    13.4";"    33.3";"     0.6";"     1.1";"     2.7"
"1040";"BU03631501";"Amsterdam                               ";"BU03631501";"     5.5";"    35.0";"    26.7";"    31.5";"    53.8";"     0.5";"     0.4";"     2.7"
"1041";"BU03631502";"Amsterdam                               ";"BU03631502";"     0.3";"     6.6";"     4.1";"     4.9";"     9.4";"     1.1";"     1.4";"     3.0"
"1042";"BU03631503";"Amsterdam                               ";"BU03631503";"     5.1";"    23.4";"    20.3";"    23.6";"    37.5";"     0.7";"     0.3";"     2.8"
"1043";"WK036316  ";"Amsterdam                               ";"WK036316  ";"     9.0";"    70.0";"    50.3";"    52.0";"   121.6";"     0.4";"     0.4";"     2.3"
"1044";"BU03631600";"Amsterdam                               ";"BU03631600";"     8.5";"    67.4";"    47.6";"    43.6";"   116.9";"     0.6";"     0.3";"     2.2"
"1045";"BU03631601";"Amsterdam                               ";"BU03631601";"    10.1";"    78.6";"    56.5";"    64.6";"   137.0";"     0.3";"     0.5";"     2.3"
"1046";"BU03631602";"Amsterdam                               ";"BU03631602";"     7.7";"    53.5";"    41.3";"    44.1";"    92.8";"     0.5";"     0.5";"     2.5"
"1047";"WK036317  ";"Amsterdam                               ";"WK036317  ";"    16.5";"   100.6";"    69.0";"    82.3";"   193.9";"     0.3";"     0.8";"     2.4"
"1048";"BU03631700";"Amsterdam                               ";"BU03631700";"    16.5";"   100.6";"    69.0";"    82.3";"   193.9";"     0.3";"     0.8";"     2.4"
"1049";"WK036318  ";"Amsterdam                               ";"WK036318  ";"    14.6";"    82.6";"    51.0";"    70.2";"   155.8";"     0.3";"     1.1";"     2.8"
"1050";"BU03631800";"Amsterdam                               ";"BU03631800";"    14.8";"    83.8";"    56.5";"    77.7";"   158.0";"     0.4";"     1.1";"     2.8"
"1051";"BU03631801";"Amsterdam                               ";"BU03631801";"    14.5";"    81.7";"    47.3";"    65.0";"   154.3";"     0.3";"     1.1";"     2.8"
"1052";"WK036319  ";"Amsterdam                               ";"WK036319  ";"    14.2";"    83.2";"    54.7";"    67.9";"   179.1";"     0.3";"     0.9";"     2.6"
"1053";"BU03631900";"Amsterdam                               ";"BU03631900";"    17.1";"   101.0";"    80.3";"    90.2";"   244.2";"     0.3";"     0.5";"     2.5"
"1054";"BU03631901";"Amsterdam                               ";"BU03631901";"    14.4";"    81.5";"    42.7";"    62.6";"   166.4";"     0.3";"     0.9";"     2.8"
"1055";"BU03631902";"Amsterdam                               ";"BU03631902";"    10.2";"    64.7";"    42.5";"    49.6";"   120.9";"     0.3";"     1.3";"     2.5"
"1056";"WK036320  ";"Amsterdam                               ";"WK036320  ";"    12.0";"    69.9";"    52.1";"    63.7";"   192.5";"     0.5";"     0.5";"     2.6"
"1057";"BU03632000";"Amsterdam                               ";"BU03632000";"    12.6";"    84.8";"    83.0";"    88.5";"   259.5";"     0.5";"     0.4";"     2.6"
"1058";"BU03632001";"Amsterdam                               ";"BU03632001";"    11.5";"    61.0";"    38.5";"    52.5";"   165.3";"     0.7";"     0.4";"     2.8"
"1059";"BU03632002";"Amsterdam                               ";"BU03632002";"    11.7";"    62.5";"    31.7";"    47.8";"   145.9";"     0.4";"     0.8";"     2.5"
"1060";"WK036321  ";"Amsterdam                               ";"WK036321  ";"     8.5";"    43.4";"    27.2";"    28.9";"   100.3";"     0.3";"     1.2";"     2.0"
"1061";"BU03632100";"Amsterdam                               ";"BU03632100";"     9.0";"    45.8";"    28.1";"    31.8";"   103.0";"     0.2";"     1.1";"     2.1"
"1062";"BU03632101";"Amsterdam                               ";"BU03632101";"     7.4";"    37.2";"    24.7";"    21.4";"    93.4";"     0.5";"     1.3";"     1.9"
"1063";"WK036322  ";"Amsterdam                               ";"WK036322  ";"     9.4";"    54.0";"    49.3";"    53.1";"   183.9";"     0.6";"     0.5";"     2.7"
"1064";"BU03632200";"Amsterdam                               ";"BU03632200";"     9.9";"    61.8";"    70.6";"    71.9";"   232.7";"     0.6";"     0.5";"     2.8"
"1065";"BU03632201";"Amsterdam                               ";"BU03632201";"     9.0";"    46.8";"    29.6";"    35.6";"   138.6";"     0.7";"     0.6";"     2.7"
"1066";"WK036323  ";"Amsterdam                               ";"WK036323  ";"     2.5";"     6.9";"     1.2";"    16.8";"    20.3";"     0.7";"     1.1";"     0.9"
"1067";"BU03632300";"Amsterdam                               ";"BU03632300";"     1.4";"     7.7";"     2.5";"    12.7";"    16.6";"     0.3";"     0.2";"     1.0"
"1068";"BU03632301";"Amsterdam                               ";"BU03632301";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1069";"BU03632302";"Amsterdam                               ";"BU03632302";"     1.4";"     2.0";"     0.2";"     7.7";"     7.7";"     1.3";"     1.2";"     1.8"
"1070";"BU03632303";"Amsterdam                               ";"BU03632303";"     3.0";"     9.3";"     1.4";"    23.1";"    25.5";"     0.9";"     1.0";"     0.9"
"1071";"BU03632304";"Amsterdam                               ";"BU03632304";"     1.7";"     1.2";"     0.0";"     4.7";"    11.2";"     0.1";"     1.6";"     0.7"
"1072";"WK036324  ";"Amsterdam                               ";"WK036324  ";"    14.2";"    94.5";"    57.6";"    99.5";"   207.7";"     0.4";"     0.5";"     2.2"
"1073";"BU03632400";"Amsterdam                               ";"BU03632400";"    14.6";"    84.0";"    50.4";"    84.1";"   174.4";"     0.3";"     0.6";"     2.0"
"1074";"BU03632401";"Amsterdam                               ";"BU03632401";"    15.7";"    99.7";"    62.0";"   103.8";"   213.4";"     0.6";"     0.7";"     2.4"
"1075";"BU03632402";"Amsterdam                               ";"BU03632402";"    12.8";"    97.5";"    65.4";"   108.8";"   238.5";"     0.6";"     0.5";"     2.4"
"1076";"BU03632403";"Amsterdam                               ";"BU03632403";"    11.9";"    88.8";"    49.8";"    95.4";"   193.9";"     0.4";"     0.3";"     2.1"
"1077";"BU03632404";"Amsterdam                               ";"BU03632404";"    15.5";"    99.4";"    59.7";"   103.2";"   213.7";"     0.3";"     0.5";"     2.2"
"1078";"WK036325  ";"Amsterdam                               ";"WK036325  ";"    12.9";"    83.5";"    44.5";"    78.4";"   166.0";"     0.4";"     0.3";"     1.8"
"1079";"BU03632500";"Amsterdam                               ";"BU03632500";"    13.5";"    56.3";"    38.5";"    55.8";"   123.2";"     0.4";"     0.3";"     1.7"
"1080";"BU03632501";"Amsterdam                               ";"BU03632501";"    14.6";"    84.8";"    48.8";"    77.2";"   162.4";"     0.2";"     0.3";"     2.0"
"1081";"BU03632502";"Amsterdam                               ";"BU03632502";"    13.5";"   108.1";"    52.5";"   100.0";"   207.9";"     0.3";"     0.2";"     1.8"
"1082";"BU03632503";"Amsterdam                               ";"BU03632503";"    10.0";"    86.2";"    38.8";"    82.5";"   174.2";"     0.5";"     0.2";"     1.8"
"1083";"WK036326  ";"Amsterdam                               ";"WK036326  ";"    12.1";"    64.7";"    32.0";"    48.4";"   104.7";"     0.5";"     0.4";"     1.6"
"1084";"BU03632600";"Amsterdam                               ";"BU03632600";"     9.8";"    43.8";"    24.4";"    35.3";"    78.2";"     0.7";"     0.5";"     1.3"
"1085";"BU03632601";"Amsterdam                               ";"BU03632601";"    13.0";"    67.6";"    33.9";"    48.7";"   106.3";"     0.4";"     0.3";"     1.7"
"1086";"BU03632602";"Amsterdam                               ";"BU03632602";"    14.1";"    89.6";"    40.0";"    66.0";"   138.9";"     0.3";"     0.3";"     1.8"
"1087";"WK036327  ";"Amsterdam                               ";"WK036327  ";"     7.0";"    30.6";"    20.3";"    36.1";"    73.4";"     0.4";"     0.5";"     1.3"
"1088";"BU03632700";"Amsterdam                               ";"BU03632700";"    10.9";"    41.3";"    31.7";"    47.3";"    98.9";"     0.4";"     0.5";"     1.6"
"1089";"BU03632701";"Amsterdam                               ";"BU03632701";"     5.0";"    24.7";"    14.1";"    30.8";"    60.3";"     0.4";"     0.5";"     1.1"
"1090";"BU03632702";"Amsterdam                               ";"BU03632702";"     5.2";"    27.2";"    16.6";"    27.5";"    60.7";"     0.5";"     0.3";"     1.2"
"1091";"WK036328  ";"Amsterdam                               ";"WK036328  ";"     9.7";"    42.6";"    21.0";"    36.8";"    72.7";"     0.3";"     0.4";"     1.2"
"1092";"BU03632800";"Amsterdam                               ";"BU03632800";"     7.9";"    29.0";"    21.4";"    34.1";"    68.9";"     0.3";"     0.4";"     1.5"
"1093";"BU03632801";"Amsterdam                               ";"BU03632801";"     9.7";"    35.9";"    24.5";"    35.9";"    73.7";"     0.6";"     0.1";"     1.3"
"1094";"BU03632802";"Amsterdam                               ";"BU03632802";"    13.1";"    61.9";"    22.0";"    43.9";"    80.4";"     0.2";"     0.5";"     0.8"
"1095";"BU03632803";"Amsterdam                               ";"BU03632803";"     7.7";"    35.7";"    19.3";"    31.6";"    68.0";"     0.4";"     0.2";"     1.2"
"1096";"WK036329  ";"Amsterdam                               ";"WK036329  ";"    13.9";"    60.5";"    22.6";"    40.7";"    70.2";"     0.3";"     0.4";"     0.6"
"1097";"BU03632900";"Amsterdam                               ";"BU03632900";"    14.2";"    54.9";"    25.8";"    40.7";"    67.9";"     0.5";"     0.6";"     0.7"
"1098";"BU03632901";"Amsterdam                               ";"BU03632901";"    16.2";"    74.4";"    25.9";"    47.9";"    82.7";"     0.2";"     0.3";"     0.4"
"1099";"BU03632902";"Amsterdam                               ";"BU03632902";"     9.2";"    47.0";"    10.2";"    27.8";"    52.2";"     0.3";"     0.3";"     0.6"
"1100";"WK036330  ";"Amsterdam                               ";"WK036330  ";"     9.0";"    43.6";"    13.3";"    28.9";"    55.9";"     0.3";"     0.6";"     1.0"
