"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"1210";"BU03634904";"Amsterdam                               ";"BU03634904";"     5.5";"    31.8";"     2.7";"    18.0";"    33.5";"     0.3";"     0.3";"     1.3"
"1211";"BU03634905";"Amsterdam                               ";"BU03634905";"     4.8";"    28.5";"     2.9";"    18.8";"    29.2";"     0.4";"     0.5";"     1.1"
"1212";"WK036350  ";"Amsterdam                               ";"WK036350  ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1213";"BU03635000";"Amsterdam                               ";"BU03635000";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1214";"BU03635001";"Amsterdam                               ";"BU03635001";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1215";"BU03635003";"Amsterdam                               ";"BU03635003";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1216";"BU03635005";"Amsterdam                               ";"BU03635005";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1217";"BU03635006";"Amsterdam                               ";"BU03635006";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1218";"WK036351  ";"Amsterdam                               ";"WK036351  ";"     1.9";"     4.8";"     0.0";"     3.8";"    10.5";"     0.3";"     0.5";"     6.0"
"1219";"BU03635100";"Amsterdam                               ";"BU03635100";"     0.0";"     0.4";"     0.0";"     0.0";"     0.1";"     0.9";"     1.2";"     6.5"
"1220";"BU03635101";"Amsterdam                               ";"BU03635101";"     1.9";"     4.9";"     0.0";"     3.8";"     9.7";"     0.3";"     0.6";"     5.9"
"1221";"BU03635102";"Amsterdam                               ";"BU03635102";"     2.0";"     5.3";"     0.0";"     4.8";"    15.1";"     0.3";"     0.2";"     6.2"
"1222";"WK036352  ";"Amsterdam                               ";"WK036352  ";"     8.9";"    45.3";"    10.7";"    24.8";"    62.2";"     0.3";"     0.6";"     1.2"
"1223";"BU03635200";"Amsterdam                               ";"BU03635200";"     8.4";"    47.1";"    12.0";"    29.0";"    72.0";"     0.4";"     0.5";"     1.3"
"1224";"BU03635201";"Amsterdam                               ";"BU03635201";"     8.3";"    47.3";"    11.2";"    26.9";"    68.8";"     0.2";"     0.7";"     1.1"
"1225";"BU03635202";"Amsterdam                               ";"BU03635202";"    11.7";"    51.7";"    12.0";"    28.3";"    71.3";"     0.4";"     0.8";"     1.3"
"1226";"BU03635203";"Amsterdam                               ";"BU03635203";"    10.8";"    52.0";"    12.8";"    25.7";"    57.4";"     0.2";"     0.7";"     1.4"
"1227";"BU03635206";"Amsterdam                               ";"BU03635206";"     5.0";"    25.5";"     4.4";"    10.0";"    30.5";"     0.3";"     0.3";"     1.0"
"1228";"BU03635207";"Amsterdam                               ";"BU03635207";"     2.8";"    13.5";"     1.4";"     4.7";"    18.3";"     0.5";"     0.4";"     0.8"
"1229";"WK036353  ";"Amsterdam                               ";"WK036353  ";"    11.9";"    54.0";"    18.4";"    33.6";"    68.7";"     0.6";"     0.7";"     1.3"
"1230";"BU03635300";"Amsterdam                               ";"BU03635300";"    13.8";"    65.3";"    21.3";"    38.5";"    83.7";"     0.5";"     0.7";"     1.5"
"1231";"BU03635301";"Amsterdam                               ";"BU03635301";"    10.3";"    44.7";"    16.1";"    29.6";"    56.3";"     0.6";"     0.6";"     1.1"
"1232";"WK036354  ";"Amsterdam                               ";"WK036354  ";"     7.8";"    32.0";"     8.0";"    17.3";"    33.7";"     0.3";"     0.5";"     1.3"
"1233";"BU03635400";"Amsterdam                               ";"BU03635400";"     7.6";"    32.6";"    10.2";"    20.5";"    36.8";"     0.3";"     0.5";"     1.1"
"1234";"BU03635401";"Amsterdam                               ";"BU03635401";"     6.7";"    22.5";"     7.0";"    14.0";"    22.2";"     0.5";"     0.3";"     1.4"
"1235";"BU03635402";"Amsterdam                               ";"BU03635402";"     8.2";"    34.7";"     8.1";"    16.5";"    31.2";"     0.3";"     0.6";"     1.4"
"1236";"BU03635403";"Amsterdam                               ";"BU03635403";"     9.7";"    43.5";"     6.6";"    19.0";"    51.0";"     0.2";"     0.6";"     1.1"
"1237";"BU03635404";"Amsterdam                               ";"BU03635404";"     0.0";"     0.0";"     0.1";"     2.6";"     1.1";"     1.0";"     1.4";"     1.9"
"1238";"WK036355  ";"Amsterdam                               ";"WK036355  ";"     3.0";"    15.5";"     2.7";"    10.5";"    17.2";"     0.8";"     0.7";"     1.0"
"1239";"BU03635501";"Amsterdam                               ";"BU03635501";"     3.8";"    15.4";"     3.6";"    15.9";"    24.3";"     0.9";"     0.4";"     0.7"
"1240";"BU03635502";"Amsterdam                               ";"BU03635502";"     0.6";"     3.5";"     0.3";"     5.4";"     6.2";"     1.1";"     0.9";"     0.9"
"1241";"BU03635503";"Amsterdam                               ";"BU03635503";"     7.7";"    38.6";"     8.3";"    19.1";"    42.7";"     0.7";"     0.4";"     1.1"
"1242";"BU03635504";"Amsterdam                               ";"BU03635504";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1243";"BU03635505";"Amsterdam                               ";"BU03635505";"     0.1";"     2.2";"     0.0";"     1.5";"     1.7";"     1.1";"     1.2";"     1.2"
"1244";"BU03635506";"Amsterdam                               ";"BU03635506";"     0.1";"     2.1";"     0.0";"     1.3";"     1.4";"     1.2";"     1.2";"     1.2"
"1245";"BU03635507";"Amsterdam                               ";"BU03635507";"     2.5";"    16.3";"     0.9";"     8.9";"     8.3";"     0.3";"     0.7";"     1.3"
"1246";"BU03635508";"Amsterdam                               ";"BU03635508";"     3.3";"    12.1";"     2.9";"    14.0";"    23.3";"     0.9";"     0.3";"     0.7"
"1247";"WK036356  ";"Amsterdam                               ";"WK036356  ";"     4.4";"    21.0";"     2.8";"    11.9";"    19.2";"     0.6";"     0.7";"     1.0"
"1248";"BU03635600";"Amsterdam                               ";"BU03635600";"     7.9";"    40.4";"     6.3";"    20.1";"    38.3";"     0.3";"     0.5";"     1.1"
"1249";"BU03635601";"Amsterdam                               ";"BU03635601";"     7.0";"    35.6";"     4.0";"    18.9";"    31.7";"     0.2";"     0.6";"     0.9"
"1250";"BU03635602";"Amsterdam                               ";"BU03635602";"     3.1";"    18.3";"     1.3";"    10.5";"    15.0";"     0.6";"     0.3";"     0.8"
"1251";"BU03635603";"Amsterdam                               ";"BU03635603";"     1.3";"    11.0";"     0.2";"     7.1";"     6.5";"     0.8";"     0.6";"     0.8"
"1252";"BU03635604";"Amsterdam                               ";"BU03635604";"     2.0";"    10.0";"     0.0";"     7.0";"     5.0";"     1.1";"     0.5";"     0.3"
"1253";"BU03635605";"Amsterdam                               ";"BU03635605";"     0.0";"     4.0";"     2.4";"     3.1";"     3.3";"     1.2";"     1.6";"     1.8"
"1254";"BU03635606";"Amsterdam                               ";"BU03635606";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1255";"BU03635607";"Amsterdam                               ";"BU03635607";"     4.3";"     5.5";"     1.8";"     6.1";"     8.6";"     0.9";"     1.0";"     0.6"
"1256";"BU03635608";"Amsterdam                               ";"BU03635608";"     0.9";"     0.0";"     0.0";"     0.0";"     1.8";"     2.1";"     1.6";"     1.2"
"1257";"WK036357  ";"Amsterdam                               ";"WK036357  ";"     0.0";"     4.7";"     2.3";"     3.0";"     1.9";"     1.3";"     1.7";"     1.9"
"1258";"BU03635700";"Amsterdam                               ";"BU03635700";"     0.0";"     4.7";"     2.3";"     3.0";"     1.9";"     1.3";"     1.7";"     1.9"
"1259";"BU03635701";"Amsterdam                               ";"BU03635701";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1260";"BU03635702";"Amsterdam                               ";"BU03635702";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1261";"WK036358  ";"Amsterdam                               ";"WK036358  ";"     0.4";"     1.7";"     0.6";"     3.1";"     4.4";"     0.9";"     1.7";"     1.8"
"1262";"BU03635801";"Amsterdam                               ";"BU03635801";"     1.0";"     0.0";"     1.0";"     0.4";"     0.4";"     2.1";"     3.2";"     2.8"
"1263";"BU03635804";"Amsterdam                               ";"BU03635804";"     0.0";"     0.3";"     0.1";"     0.2";"     0.4";"     1.9";"     1.9";"     2.8"
"1264";"BU03635805";"Amsterdam                               ";"BU03635805";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     3.2";"     3.2";"     4.1"
"1265";"BU03635806";"Amsterdam                               ";"BU03635806";"     0.0";"     1.0";"     0.0";"     2.9";"     4.1";"     0.2";"     1.7";"     1.5"
"1266";"BU03635807";"Amsterdam                               ";"BU03635807";"     0.6";"     5.0";"     2.0";"     8.6";"    13.3";"     1.1";"     0.5";"     0.9"
"1267";"BU03635808";"Amsterdam                               ";"BU03635808";"     0.0";"     0.8";"     0.0";"     3.0";"     1.6";"     1.0";"     2.4";"     2.1"
"1268";"BU03635809";"Amsterdam                               ";"BU03635809";"     0.8";"     2.9";"     0.8";"     2.1";"     2.8";"     1.4";"     1.4";"     2.3"
"1269";"WK036359  ";"Amsterdam                               ";"WK036359  ";"     2.6";"    19.2";"     2.3";"    17.0";"    19.7";"     0.7";"     0.3";"     0.9"
"1270";"BU03635900";"Amsterdam                               ";"BU03635900";"     2.6";"    19.2";"     2.3";"    17.0";"    19.7";"     0.7";"     0.3";"     0.9"
"1271";"BU03635901";"Amsterdam                               ";"BU03635901";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1272";"WK036360  ";"Amsterdam                               ";"WK036360  ";"     3.9";"    16.2";"     8.0";"    10.3";"    24.6";"     0.4";"     0.5";"     4.6"
"1273";"BU03636000";"Amsterdam                               ";"BU03636000";"     5.4";"    21.0";"     9.6";"    12.8";"    30.9";"     0.4";"     0.5";"     4.4"
"1274";"BU03636001";"Amsterdam                               ";"BU03636001";"     3.2";"    14.8";"     7.8";"     8.9";"    23.8";"     0.3";"     0.7";"     4.7"
"1275";"BU03636002";"Amsterdam                               ";"BU03636002";"     1.8";"     8.2";"     5.0";"     6.7";"    13.0";"     0.6";"     0.4";"     4.9"
"1276";"WK036361  ";"Amsterdam                               ";"WK036361  ";"     4.5";"    16.0";"     6.8";"    10.8";"    18.9";"     0.4";"     0.5";"     4.7"
"1277";"BU03636100";"Amsterdam                               ";"BU03636100";"     4.2";"    11.1";"     5.6";"     7.9";"    13.2";"     0.5";"     0.7";"     5.0"
"1278";"BU03636101";"Amsterdam                               ";"BU03636101";"     5.2";"    20.2";"     8.4";"    12.9";"    24.7";"     0.3";"     0.5";"     4.7"
"1279";"BU03636102";"Amsterdam                               ";"BU03636102";"     3.5";"    12.7";"     4.6";"    10.5";"    13.2";"     0.4";"     0.2";"     4.4"
"1280";"BU03636103";"Amsterdam                               ";"BU03636103";"     0.1";"     4.4";"     1.5";"     1.8";"     2.1";"     1.2";"     1.0";"     5.3"
"1281";"WK036362  ";"Amsterdam                               ";"WK036362  ";"     3.4";"    15.0";"     2.9";"     4.6";"     7.9";"     0.7";"     1.2";"     5.9"
"1282";"BU03636200";"Amsterdam                               ";"BU03636200";"     1.0";"    11.9";"     2.6";"     3.3";"     7.1";"     0.8";"     1.0";"     5.5"
"1283";"BU03636201";"Amsterdam                               ";"BU03636201";"     4.5";"    16.3";"     3.0";"     5.1";"     8.2";"     0.7";"     1.2";"     6.1"
"1284";"WK036363  ";"Amsterdam                               ";"WK036363  ";"     0.4";"     7.4";"     1.7";"     4.1";"     6.1";"     0.5";"     0.4";"     4.9"
"1285";"BU03636300";"Amsterdam                               ";"BU03636300";"     0.4";"     7.4";"     1.7";"     4.1";"     6.1";"     0.5";"     0.4";"     4.9"
"1286";"WK036364  ";"Amsterdam                               ";"WK036364  ";"     0.4";"     9.9";"     2.4";"     3.3";"     6.9";"     0.8";"     0.8";"     5.2"
