BUURTCODE_2022,BUURTNAAM_2022,WIJKNAAM_2022,STADSDEELNAAM,buurt_area_m2,distance_to_nearest_green_m_2020,distance_to_nearest_green_m_2024,distance_change_m,nearest_green_name_2020,nearest_green_type_2020,nearest_green_area_m2_2020,nearest_green_name_2024,nearest_green_type_2024,nearest_green_area_m2_2024,total_green_area_m2_2020,total_green_area_m2_2024,green_coverage_percent_2020,green_coverage_percent_2024,coverage_change_percent,num_green_spaces_2020,num_green_spaces_2024
AF05,Nieuwmarkt,Nieuwmarkt/Lastage,Centrum,71272.1,471.99,64.51,-407.48,Unnamed,forest,522.33,Unnamed,park,353.96,0.0,353.96,0.0,0.5,0.5,0,1
AF06,Uilenburg,Nieuwmarkt/Lastage,Centrum,106889.35,349.16,335.52,-13.640000000000043,Unnamed,forest,1236.52,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AF07,Valkenburg,Nieuwmarkt/Lastage,Centrum,73591.15,129.97,129.97,0.0,Unnamed,forest,1236.52,Unnamed,forest,1236.52,0.0,0.0,0.0,0.0,0.0,0,0
AF08,Zuiderkerkbuurt,Nieuwmarkt/Lastage,Centrum,91016.21,593.0,337.6,-255.4,Weesperplantsoen,park,1512.39,Unnamed,park,353.96,0.0,0.0,0.0,0.0,0.0,0,0
AF09,Waterloopleinbuurt,Nieuwmarkt/Lastage,Centrum,129553.45,271.46,315.31,43.85000000000002,Weesperplantsoen,park,1512.39,Hortusplantsoen,park,1711.86,0.0,0.0,0.0,0.0,0.0,0,0
AA03,Westerdokseiland,Haarlemmerbuurt,Centrum,337782.21,409.72,194.74,-214.98,Unnamed,forest,56.28,Unnamed,forest,86.55,0.0,242.83,0.0,0.07,0.07,0,2
AA06,Haarlemmerbuurt-Oost,Haarlemmerbuurt,Centrum,101365.85,727.78,255.14,-472.64,Unnamed,forest,852.86,Unnamed,forest,156.28,0.0,0.0,0.0,0.0,0.0,0,0
AA05,Haarlemmerbuurt-West,Haarlemmerbuurt,Centrum,117324.45,387.2,370.13,-17.069999999999993,Unnamed,forest,206.7,Unnamed,forest,156.28,0.0,0.0,0.0,0.0,0.0,0,0
AA02,Westelijke eilanden,Haarlemmerbuurt,Centrum,216567.19,129.55,129.55,0.0,Unnamed,forest,852.86,Unnamed,forest,852.86,2350.65,2825.25,1.09,1.3,0.2099999999999999,3,3
FB05,Van Tijenbuurt,Geuzenveld,Nieuw-West,297779.62,91.53,223.07,131.54,Unnamed,forest,305.61,Unnamed,forest,541.04,968.42,4057.75,0.33,1.36,1.03,3,7
FB03,Ruys de Beerenbrouckbuurt,Geuzenveld,Nieuw-West,434931.37,265.78,156.65,-109.12999999999997,Unnamed,park,14432.93,Unnamed,forest,162.09,17949.23,14423.25,4.13,3.32,-0.81,5,4
FB04,Eendrachtspark,Geuzenveld,Nieuw-West,140147.23,20.4,29.21,8.810000000000002,Unnamed,forest,741.72,Unnamed,forest,1271.4,92762.27,90938.6,66.19,64.89,-1.2999999999999972,14,13
